behavior,rank,feature,mean_abs_shap
Climbing,1,dist_H1R_nose_roll_std,0.28369635343551636
Climbing,2,dist_B2R_S2_roll_mean,0.23023080825805664
Climbing,3,dist_H1L_nose_roll_std,0.22232168912887573
Climbing,4,dist_H1L_H1R_roll_std,0.1996113806962967
Climbing,5,dist_B2L_B2R,0.19015657901763916
Climbing,6,dist_H1L_H1R_roll_mean,0.18295049667358398
Climbing,7,dist_H1R_H2L,0.16111432015895844
Climbing,8,dist_H1R_H2L_roll_sum,0.1416274905204773
Climbing,9,dist_H2L_H2R_roll_std,0.13899771869182587
Climbing,10,dist_B1L_H2R_roll_std,0.1173238456249237
Climbing,11,dist_B2R_B3L_roll_mean,0.08917509019374847
Climbing,12,dist_B2L_B2R_roll_mean,0.08807239681482315
Climbing,13,dist_B1R_H2L_roll_std,0.08607203513383865
Climbing,14,dist_B2R_S2,0.07840073108673096
Climbing,15,dist_B2R_S2_roll_std,0.07316805422306061
Climbing,16,dist_H2L_nose_roll_sum,0.07191311568021774
Climbing,17,dist_B2L_B3L,0.0669686421751976
Climbing,18,dist_B1R_H2R_roll_mean,0.06448476761579514
Climbing,19,dist_B2R_H2L_roll_std,0.06291938573122025
Climbing,20,dist_B1L_H2R,0.062099020928144455
Climbing,21,dist_H2L_H2R,0.05964143946766853
Climbing,22,dist_H2L_S2_roll_sum,0.059127409011125565
Climbing,23,dist_H1L_H1R,0.05786224082112312
Climbing,24,dist_B2L_B3L_roll_mean,0.05501658096909523
Climbing,25,dist_B1L_S1_roll_std,0.054672326892614365
Climbing,26,dist_B1L_H2R_roll_mean,0.05441931262612343
Climbing,27,dist_B3R_S2_roll_mean,0.0539553165435791
Climbing,28,dist_B2R_B3R,0.05360832437872887
Climbing,29,dist_H1R_nose_roll_sum,0.052861426025629044
Climbing,30,dist_B1R_B2R_roll_sum,0.05276840925216675
Climbing,31,dist_B1R_H2L,0.0525081492960453
Climbing,32,dist_S1_tail,0.051253728568553925
Climbing,33,dist_B1R_H2R,0.05098937824368477
Climbing,34,dist_H1L_H2R,0.050497666001319885
Climbing,35,nose_x_roll_std,0.04925517365336418
Climbing,36,dist_B2L_S1_roll_mean,0.04844314977526665
Climbing,37,dist_B1L_B1R,0.047166790813207626
Climbing,38,dist_H1L_H2L_roll_std,0.04708733782172203
Climbing,39,S2_x_t-1,0.04661908373236656
Climbing,40,dist_B2R_S2_roll_sum,0.04501020535826683
Climbing,41,dist_B2R_B3L,0.04496834799647331
Climbing,42,dist_B1R_B3R,0.04476160183548927
Climbing,43,S2_x,0.044331688433885574
Climbing,44,dist_B1R_B2L,0.04317062720656395
Climbing,45,dist_B3R_H1L_roll_std,0.04253062233328819
Climbing,46,dist_B2L_B2R_roll_std,0.04202982410788536
Climbing,47,dist_B3L_S1_roll_std,0.042011190205812454
Climbing,48,dist_B2R_B3R_roll_mean,0.04091349244117737
Climbing,49,dist_B1L_H1R,0.04075811803340912
Climbing,50,dist_B3L_tail_roll_std,0.0405661016702652
Climbing,51,dist_H1R_H2L_roll_mean,0.040424712002277374
Climbing,52,dist_B2R_B3L_roll_std,0.04013894870877266
Climbing,53,dist_H1L_H2L,0.039280734956264496
Climbing,54,dist_B2L_S1,0.039186879992485046
Climbing,55,dist_B3L_H2R,0.0391157902777195
Climbing,56,dist_B2L_S2,0.03836895897984505
Climbing,57,dist_B2L_B3R_roll_mean,0.03826737776398659
Climbing,58,dist_B3R_S2,0.03803246095776558
Climbing,59,B1L_velocity,0.03742784261703491
Climbing,60,tail_velocity_roll_mean,0.036865174770355225
Climbing,61,dist_B2L_B3L_roll_std,0.03669312596321106
Climbing,62,dist_B3R_tail,0.03652716428041458
Climbing,63,dist_B1L_B2R_roll_std,0.035483893007040024
Climbing,64,B1R_velocity,0.03428332880139351
Climbing,65,B3L_x,0.03406090661883354
Climbing,66,S1_y_t-4,0.03386302292346954
Climbing,67,global_body_angular_velocity,0.033380791544914246
Climbing,68,dist_H2L_nose_roll_mean,0.032962922006845474
Climbing,69,dist_B2L_B3R_roll_std,0.03287150710821152
