recording,animal,group,mds1,mds2,group_ext,dynamics_score,resilient_by_zero
Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,11.4,Control,-0.0725790707363802,-0.3342069556578934,Control,-0.5147458341113063,False
Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,11.6,Control,0.1704146602131654,-0.395981946565676,Control,-0.4607405709017912,False
Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,15.4,ELS,-0.00303390464214724,-0.3787455871598729,ELS resilient,-0.5129396591377257,True
Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,15.6,ELS,-0.01272299343018598,0.15476493597054383,ELS,1.1666622502073403,False
Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,23.4,ELS,-0.12190437775773831,0.06723288353829411,ELS,0.9701588983626777,False
Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,25.1,ELS,-0.011175694460838707,0.21684198989737113,ELS,0.822333989902334,False
Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,26.4,ELS,0.20318258743849704,-0.24708514525019545,ELS resilient,-0.5621755664875161,True
Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,2.4,ELS,0.01564311747587947,-0.03724480166050204,ELS resilient,-0.5861731843731353,True
Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,32.2,ELS,-0.19991112062826358,0.2578312273421092,ELS,0.5586929384632123,False
Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,32.4,ELS,-0.03145299214726384,0.3136440927122755,ELS,0.5791298672514491,False
Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,34.4,Control,-0.39731998954940256,0.14614964443378875,Control,0.28731341613010586,False
Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,34.5,Control,-0.4289777565992129,-0.10663515003056845,Control,0.04059612969666096,False
Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,5.4,Control,0.2854911145586597,0.08629731980333528,Control,0.013330488173616994,False
Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,123.1,ELS,0.19374136107971812,0.2191386504344204,ELS,0.30606790553471863,False
Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,123.3,ELS,0.24664395711202625,-0.15818137787559847,ELS resilient,-0.4660500029218887,True
Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,128.4,ELS,0.48373177232508346,0.42061894905808483,ELS,0.11620327557895498,False
Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,129.1,Control,0.7516464245129989,0.02900994834265699,Control,-0.061927134292155364,False
Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,129.4,Control,0.47600280706887454,-0.2462575249316731,Control,-0.2426392451974616,False
Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,133.3,ELS,0.35356862758284413,0.1331306691832493,ELS,0.037060982991964836,False
Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,134.2,ELS,0.28047282166549053,-0.12458301226348413,ELS resilient,-0.3698159803943699,True
Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,134.4,ELS,0.19350829094059613,0.1409016475410229,ELS,0.2305536681011749,False
