animal_id,group,experiment,inaccurate_tracking_seconds,mix_behaviors_seconds,total_excluded_seconds
11.4,Control,1,93.2,22.28,115.48
11.6,Control,1,91.68,26.279999999999998,117.96000000000001
123.1,ELS,3,16.36,42.4,58.76
123.3,ELS,3,56.879999999999995,15.879999999999999,72.75999999999999
128.4,ELS,3,9.12,34.68,43.8
129.1,Control,3,5.6,60.6,66.2
129.4,Control,3,19.04,53.92,72.96000000000001
133.3,ELS,3,24.68,54.88,79.56
134.2,ELS,3,57.32,24.16,81.48
134.4,ELS,3,48.36,19.959999999999997,68.32
136.2,Control,3,16.0,33.36,49.36
136.3,Control,3,6.72,80.12,86.84
136.5,Control,3,6.12,122.96,129.07999999999998
137.3,Control,3,40.32,32.72,73.03999999999999
144.3,ELS,3,15.28,27.919999999999998,43.199999999999996
144.5,ELS,3,20.8,47.239999999999995,68.03999999999999
145.5,Control,3,42.839999999999996,26.04,68.88
146.6,Control,3,52.480000000000004,15.200000000000001,67.68
147.4,Control,3,79.48,24.44,103.92
148.4,ELS,3,64.92,16.16,81.08
15.4,ELS,1,78.8,22.64,101.44
15.6,ELS,1,63.76,38.12,101.88
150.3,ELS,3,3.56,26.8,30.36
150.5,ELS,3,35.24,28.64,63.88
152.3,Control,3,65.56,29.72,95.28
152.5,Control,3,40.88,15.24,56.120000000000005
153.4,ELS,3,23.12,30.72,53.84
154.4,ELS,3,47.76,21.12,68.88
157.1,Control,3,92.48,44.84,137.32
157.4,Control,3,66.24000000000001,28.439999999999998,94.68
158.5,Control,3,50.800000000000004,17.24,68.04
159.3,ELS,3,12.48,28.96,41.44
159.4,ELS,3,2.72,53.24,55.96
159.5,ELS,3,14.44,29.12,43.56
161.1,Control,3,34.56,23.32,57.88
161.3,Control,3,48.32,7.8,56.12
2.4,ELS,1,89.88,25.84,115.72
23.4,ELS,1,79.0,24.560000000000002,103.56
25.1,ELS,1,78.03999999999999,26.08,104.11999999999999
26.4,ELS,1,55.36,18.48,73.84
32.2,ELS,1,66.03999999999999,39.04,105.07999999999998
32.4,ELS,1,73.32,36.04,109.35999999999999
34.4,Control,1,69.2,23.76,92.96000000000001
34.5,Control,1,79.12,16.36,95.48
40.4,Control,1,144.12,26.4,170.52
40.6,Control,1,88.6,27.64,116.24
41.4,Control,1,99.88,18.32,118.19999999999999
41.5,Control,1,84.0,13.04,97.03999999999999
41.6,Control,1,81.12,13.16,94.28
43.3,ELS,1,81.04,23.560000000000002,104.60000000000001
43.5,ELS,1,88.64,18.68,107.32
47.5,Control,1,98.64,25.240000000000002,123.88
49.5,ELS,1,104.92,21.76,126.68
49.6,ELS,1,50.56,14.28,64.84
5.4,Control,1,53.08,32.08,85.16
50.5,Control,1,62.08,20.56,82.64
53.5,Control,1,88.48,13.28,101.76
54.3,Control,1,90.92,23.32,114.24000000000001
54.4,Control,1,36.72,27.48,64.2
54.6,Control,1,39.0,17.48,56.480000000000004
55.3,ELS,1,84.84,23.6,108.44
55.5,ELS,1,88.04,18.32,106.36000000000001
56.3,ELS,1,45.36,11.040000000000001,56.4
58.5,Control,1,94.16,15.52,109.67999999999999
62.1,Control,1,122.44,19.080000000000002,141.52
62.2,Control,1,47.32,25.04,72.36
62.3,Control,1,55.6,13.0,68.6
62.4,Control,1,80.4,19.36,99.76
62.5,Control,1,72.24,33.24,105.47999999999999
63.3,ELS,1,67.24,24.76,92.0
68.1,Control,1,56.0,46.16,102.16
69.1,ELS,1,62.68,24.76,87.44
69.2,ELS,1,90.48,19.24,109.72
69.3,ELS,1,58.64,30.28,88.92
69.5,ELS,1,44.68,39.2,83.88
73.1,ELS,1,11.76,39.6,51.36
73.4,ELS,1,24.8,31.52,56.32
74.1,Control,1,32.559999999999995,28.24,60.8
75.1,ELS,1,69.92,27.080000000000002,97.0
80.3,Control,1,34.400000000000006,62.04,96.44
88.2,ELS,1,74.64,17.6,92.24000000000001
88.3,ELS,1,44.92,22.84,67.76
