figure_panel_current_export,group,from_cluster,to_cluster,mean_transition_count_per_animal
R,Control,Freezing,Freezing,0
R,Control,Freezing,Sniffing,2.1219512195121948
R,Control,Freezing,Grooming,4.878048780487805E-2
R,Control,Freezing,Turn,76.756097560975604
R,Control,Freezing,Locomotion,0.92682926829268297
R,Control,Freezing,Climbing,0.17073170731707321
R,Control,Freezing,Jump,7.3170731707317069E-2
R,Control,Sniffing,Freezing,3.1951219512195119
R,Control,Sniffing,Sniffing,0
R,Control,Sniffing,Grooming,0
R,Control,Sniffing,Turn,4.4390243902439028
R,Control,Sniffing,Locomotion,0.78048780487804881
R,Control,Sniffing,Climbing,0.75609756097560976
R,Control,Sniffing,Jump,0.12195121951219511
R,Control,Grooming,Freezing,0.21951219512195119
R,Control,Grooming,Sniffing,0
R,Control,Grooming,Grooming,0
R,Control,Grooming,Turn,0.31707317073170732
R,Control,Grooming,Locomotion,0
R,Control,Grooming,Climbing,2.4390243902439029E-2
R,Control,Grooming,Jump,0
R,Control,Turn,Freezing,73.682926829268297
R,Control,Turn,Sniffing,4.8536585365853657
R,Control,Turn,Grooming,0.36585365853658541
R,Control,Turn,Turn,0
R,Control,Turn,Locomotion,32.487804878048777
R,Control,Turn,Climbing,7.5121951219512191
R,Control,Turn,Jump,0.58536585365853655
R,Control,Locomotion,Freezing,0.87804878048780488
R,Control,Locomotion,Sniffing,1.2926829268292681
R,Control,Locomotion,Grooming,0.12195121951219511
R,Control,Locomotion,Turn,30.975609756097558
R,Control,Locomotion,Locomotion,0
R,Control,Locomotion,Climbing,3.24390243902439
R,Control,Locomotion,Jump,5.0487804878048781
R,Control,Climbing,Freezing,0.31707317073170732
R,Control,Climbing,Sniffing,0.80487804878048785
R,Control,Climbing,Grooming,0
R,Control,Climbing,Turn,8.9512195121951219
R,Control,Climbing,Locomotion,2.9024390243902438
R,Control,Climbing,Climbing,0
R,Control,Climbing,Jump,0.21951219512195119
R,Control,Jump,Freezing,2.4390243902439029E-2
R,Control,Jump,Sniffing,4.878048780487805E-2
R,Control,Jump,Grooming,0
R,Control,Jump,Turn,0.87804878048780488
R,Control,Jump,Locomotion,4.3414634146341466
R,Control,Jump,Climbing,0.26829268292682928
R,Control,Jump,Jump,0
S,ELS,Freezing,Freezing,0
S,ELS,Freezing,Sniffing,3.3414634146341462
S,ELS,Freezing,Grooming,2.4390243902439029E-2
S,ELS,Freezing,Turn,72.121951219512198
S,ELS,Freezing,Locomotion,0.87804878048780488
S,ELS,Freezing,Climbing,7.3170731707317069E-2
S,ELS,Freezing,Jump,2.4390243902439029E-2
S,ELS,Sniffing,Freezing,4.0731707317073171
S,ELS,Sniffing,Sniffing,0
S,ELS,Sniffing,Grooming,4.878048780487805E-2
S,ELS,Sniffing,Turn,6.3902439024390247
S,ELS,Sniffing,Locomotion,1.1707317073170731
S,ELS,Sniffing,Climbing,2.0731707317073171
S,ELS,Sniffing,Jump,0.12195121951219511
S,ELS,Grooming,Freezing,7.3170731707317069E-2
S,ELS,Grooming,Sniffing,0
S,ELS,Grooming,Grooming,0
S,ELS,Grooming,Turn,0.34146341463414642
S,ELS,Grooming,Locomotion,9.7560975609756101E-2
S,ELS,Grooming,Climbing,0
S,ELS,Grooming,Jump,0
S,ELS,Turn,Freezing,69.780487804878049
S,ELS,Turn,Sniffing,6.1219512195121952
S,ELS,Turn,Grooming,0.56097560975609762
S,ELS,Turn,Turn,0
S,ELS,Turn,Locomotion,31.31707317073171
S,ELS,Turn,Climbing,7.2439024390243896
S,ELS,Turn,Jump,0.82926829268292679
S,ELS,Locomotion,Freezing,0.48780487804878048
S,ELS,Locomotion,Sniffing,1.9512195121951219
S,ELS,Locomotion,Grooming,7.3170731707317069E-2
S,ELS,Locomotion,Turn,30.024390243902442
S,ELS,Locomotion,Locomotion,0
S,ELS,Locomotion,Climbing,2.1219512195121948
S,ELS,Locomotion,Jump,4.0975609756097562
S,ELS,Climbing,Freezing,0.1951219512195122
S,ELS,Climbing,Sniffing,2
S,ELS,Climbing,Grooming,2.4390243902439029E-2
S,ELS,Climbing,Turn,8.8536585365853657
S,ELS,Climbing,Locomotion,2
S,ELS,Climbing,Climbing,0
S,ELS,Climbing,Jump,0.31707317073170732
S,ELS,Jump,Freezing,2.4390243902439029E-2
S,ELS,Jump,Sniffing,4.878048780487805E-2
S,ELS,Jump,Grooming,0
S,ELS,Jump,Turn,1.3170731707317069
S,ELS,Jump,Locomotion,3.2926829268292681
S,ELS,Jump,Climbing,0.29268292682926828
S,ELS,Jump,Jump,0
