animal_id,animal,group,project,experiment,selected_syllables,freezing_frames,syllable_0_28_frames,overlap_frames,percent_freezing_covered_by_syllable_0_28,precision_syllable_0_28_vs_freezing
11.4,Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2545,1907,1575,61.886051080550097,82.590456213948613
11.6,Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3987,3082,2619,65.688487584650119,84.97728747566515
34.4,Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,880,831,577,65.568181818181813,69.434416365824305
34.5,Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1554,1591,1292,83.140283140283145,81.206788183532382
40.4,Animal_40_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2219,1488,1261,56.827399729607933,84.744623655913969
40.6,Animal_40_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1836,1668,1520,82.788671023965151,91.127098321342928
41.4,Animal_41_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3409,2833,2647,77.647403930771489,93.434521708436293
41.5,Animal_41_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2416,2352,2029,83.981788079470192,86.267006802721085
41.6,Animal_41_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2519,2352,2137,84.835252084160388,90.85884353741497
47.5,Animal_47_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2343,1873,1515,64.660691421254796,80.886278697277092
5.4,Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3046,2947,2463,80.860144451739984,83.576518493383105
50.5,Animal_50_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3313,3497,3003,90.642921823121043,85.873605947955383
53.5,Animal_53_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3042,2990,2568,84.418145956607489,85.886287625418049
54.3,Animal_54_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2062,1965,1719,83.365664403491763,87.480916030534345
54.4,Animal_54_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3730,3627,3144,84.289544235924936,86.683209263854422
54.6,Animal_54_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2654,2816,2366,89.148455162019587,84.01988636363636
58.5,Animal_58_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2093,1931,1612,77.018633540372676,83.480062143966862
62.1,Animal_62_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1337,1206,994,74.345549738219901,82.421227197346596
62.2,Animal_62_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2631,2805,2245,85.328772329912582,80.035650623885928
62.3,Animal_62_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3143,3221,2718,86.477887368755972,84.383731760322874
62.4,Animal_62_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3003,2859,2504,83.383283383283384,87.583071003847508
62.5,Animal_62_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1362,1137,928,68.135095447870782,81.618293755496921
68.1,Animal_68_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2219,2140,1790,80.666967102298344,83.644859813084111
74.1,Animal_74_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1931,1897,1419,73.485240807871563,74.802319451765939
80.3,Animal_80_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,562,664,345,61.387900355871878,51.957831325301207
15.4,Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2184,2010,1571,71.932234432234438,78.159203980099505
15.6,Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2069,2045,1497,72.353794103431611,73.202933985330077
2.4,Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2422,2338,1880,77.621800165152763,80.410607356715133
23.4,Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1600,1662,1249,78.0625,75.150421179302043
25.1,Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1992,1596,1337,67.118473895582326,83.771929824561411
26.4,Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,3049,3211,2700,88.553624139061995,84.085954531298654
32.2,Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1595,1242,932,58.432601880877741,75.0402576489533
