name,group
Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_137_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_147_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_148_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_150_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_150_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_152_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_152_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_153_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_154_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_157_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_157_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_158_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_159_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_159_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_159_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_161_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_161_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_40_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_40_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_41_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_41_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_41_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_43_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_43_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_47_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_49_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_49_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_50_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_53_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_54_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_54_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_54_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_55_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_55_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_56_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_58_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_62_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_62_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_62_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_62_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_62_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_63_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_68_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_69_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_69_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_69_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_69_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_73_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_73_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_74_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_75_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
Animal_80_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control
Animal_88_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS
