animal_id,group,experiment,cluster,frequency_seconds
11.4,Control,1,Climb,19.799999999999997
11.4,Control,1,Freeze,74.88
11.4,Control,1,Groom,1.12
11.4,Control,1,Jump,5.28
11.4,Control,1,Locomotion,9.16
11.4,Control,1,Sniff,10.12
11.4,Control,1,Turn,179.92
11.6,Control,1,Climb,1.72
11.6,Control,1,Freeze,123.27999999999997
11.6,Control,1,Groom,0.3999999999999999
11.6,Control,1,Jump,2.0000000000000004
11.6,Control,1,Locomotion,6.76
11.6,Control,1,Sniff,7.4
11.6,Control,1,Turn,147.52
123.1,ELS,3,Climb,10.48
123.1,ELS,3,Freeze,113.39999999999999
123.1,ELS,3,Groom,0.07999999999999999
123.1,ELS,3,Jump,0.36
123.1,ELS,3,Locomotion,3.12
123.1,ELS,3,Sniff,30.919999999999995
123.1,ELS,3,Turn,231.44
123.3,ELS,3,Climb,5.24
123.3,ELS,3,Freeze,132.92
123.3,ELS,3,Groom,0.15999999999999998
123.3,ELS,3,Jump,2.64
123.3,ELS,3,Locomotion,14.879999999999999
123.3,ELS,3,Sniff,2.96
123.3,ELS,3,Turn,216.0
128.4,ELS,3,Climb,20.44
128.4,ELS,3,Freeze,118.75999999999998
128.4,ELS,3,Jump,2.8000000000000003
128.4,ELS,3,Locomotion,3.68
128.4,ELS,3,Sniff,120.60000000000001
128.4,ELS,3,Turn,139.47999999999996
129.1,Control,3,Climb,9.839999999999998
129.1,Control,3,Freeze,146.72
129.1,Control,3,Jump,1.0
129.1,Control,3,Locomotion,2.2
129.1,Control,3,Sniff,93.15999999999998
129.1,Control,3,Turn,130.28
129.4,Control,3,Climb,10.76
129.4,Control,3,Freeze,161.88
129.4,Control,3,Jump,3.12
129.4,Control,3,Locomotion,2.6399999999999997
129.4,Control,3,Sniff,7.4799999999999995
129.4,Control,3,Turn,191.16000000000003
133.3,ELS,3,Climb,2.4799999999999995
133.3,ELS,3,Freeze,153.48
133.3,ELS,3,Jump,5.5200000000000005
133.3,ELS,3,Locomotion,10.599999999999996
133.3,ELS,3,Sniff,5.199999999999999
133.3,ELS,3,Turn,193.15999999999997
134.2,ELS,3,Climb,9.2
134.2,ELS,3,Freeze,129.72
134.2,ELS,3,Groom,0.12
134.2,ELS,3,Jump,5.88
134.2,ELS,3,Locomotion,28.360000000000003
134.2,ELS,3,Sniff,3.24
134.2,ELS,3,Turn,191.24
134.4,ELS,3,Climb,3.5200000000000005
134.4,ELS,3,Freeze,108.88
134.4,ELS,3,Groom,0.07999999999999999
134.4,ELS,3,Jump,4.48
134.4,ELS,3,Locomotion,19.159999999999993
134.4,ELS,3,Sniff,7.4799999999999995
134.4,ELS,3,Turn,236.08000000000004
136.2,Control,3,Climb,20.719999999999995
136.2,Control,3,Freeze,107.91999999999999
136.2,Control,3,Jump,0.76
136.2,Control,3,Locomotion,3.2
136.2,Control,3,Sniff,53.4
136.2,Control,3,Turn,208.88
136.3,Control,3,Climb,3.96
136.3,Control,3,Freeze,93.03999999999999
136.3,Control,3,Locomotion,4.4
136.3,Control,3,Sniff,18.48
136.3,Control,3,Turn,242.91999999999996
136.5,Control,3,Climb,3.8
136.5,Control,3,Freeze,153.72
136.5,Control,3,Jump,0.4800000000000001
136.5,Control,3,Locomotion,2.76
136.5,Control,3,Sniff,39.28
136.5,Control,3,Turn,120.68
137.3,Control,3,Climb,28.119999999999997
137.3,Control,3,Freeze,37.8
137.3,Control,3,Jump,1.12
137.3,Control,3,Locomotion,18.88
137.3,Control,3,Sniff,75.64000000000001
137.3,Control,3,Turn,215.39999999999998
144.3,ELS,3,Climb,10.8
144.3,ELS,3,Freeze,58.68
144.3,ELS,3,Jump,1.6400000000000001
144.3,ELS,3,Locomotion,6.5600000000000005
144.3,ELS,3,Sniff,44.64
144.3,ELS,3,Turn,283.96
144.5,ELS,3,Climb,7.08
144.5,ELS,3,Freeze,81.96000000000001
144.5,ELS,3,Groom,0.07999999999999999
144.5,ELS,3,Locomotion,4.44
144.5,ELS,3,Sniff,80.56
144.5,ELS,3,Turn,207.6
145.5,Control,3,Climb,22.04
145.5,Control,3,Freeze,113.08
145.5,Control,3,Jump,2.04
145.5,Control,3,Locomotion,13.120000000000001
145.5,Control,3,Sniff,10.120000000000001
145.5,Control,3,Turn,219.16
146.6,Control,3,Climb,2.3200000000000003
146.6,Control,3,Freeze,185.59999999999997
146.6,Control,3,Groom,0.12
146.6,Control,3,Jump,5.040000000000001
146.6,Control,3,Locomotion,8.879999999999999
146.6,Control,3,Sniff,8.44
146.6,Control,3,Turn,166.88
147.4,Control,3,Climb,7.6
147.4,Control,3,Freeze,124.96
147.4,Control,3,Groom,0.8
147.4,Control,3,Jump,3.7600000000000002
147.4,Control,3,Locomotion,13.399999999999999
147.4,Control,3,Sniff,6.76
147.4,Control,3,Turn,187.27999999999997
148.4,ELS,3,Climb,6.800000000000001
148.4,ELS,3,Freeze,110.96000000000001
148.4,ELS,3,Jump,3.44
148.4,ELS,3,Locomotion,37.12
148.4,ELS,3,Sniff,5.32
148.4,ELS,3,Turn,205.28
15.4,ELS,1,Climb,8.08
15.4,ELS,1,Freeze,80.39999999999999
15.4,ELS,1,Groom,0.4400000000000001
15.4,ELS,1,Jump,2.2800000000000002
15.4,ELS,1,Locomotion,12.2
