animal_id,group,experiment,cluster,time_s,time_bin,pct
11.4,Control,1,Freeze,30,0,0.0
11.4,Control,1,Freeze,60,30,0.0
11.4,Control,1,Freeze,90,60,18.933333333333334
11.4,Control,1,Freeze,120,90,0.0
11.4,Control,1,Freeze,150,120,6.266666666666667
11.4,Control,1,Freeze,180,150,0.9333333333333336
11.4,Control,1,Freeze,210,180,8.933333333333334
11.4,Control,1,Freeze,240,210,4.533333333333333
11.4,Control,1,Freeze,270,240,16.53333333333333
11.4,Control,1,Freeze,300,270,20.933333333333337
11.4,Control,1,Freeze,330,300,14.399999999999999
11.4,Control,1,Freeze,360,330,28.0
11.4,Control,1,Freeze,390,360,23.333333333333336
11.4,Control,1,Freeze,420,390,44.266666666666666
11.4,Control,1,Freeze,450,420,62.53333333333333
11.4,Control,1,Sniff,30,0,0.0
11.4,Control,1,Sniff,60,30,0.0
11.4,Control,1,Sniff,90,60,0.0
11.4,Control,1,Sniff,120,90,3.4666666666666663
11.4,Control,1,Sniff,150,120,10.133333333333333
11.4,Control,1,Sniff,180,150,4.266666666666667
11.4,Control,1,Sniff,210,180,9.333333333333334
11.4,Control,1,Sniff,240,210,0.0
11.4,Control,1,Sniff,270,240,6.533333333333332
11.4,Control,1,Sniff,300,270,0.0
11.4,Control,1,Sniff,330,300,0.0
11.4,Control,1,Sniff,360,330,0.0
11.4,Control,1,Sniff,390,360,0.0
11.4,Control,1,Sniff,420,390,0.0
11.4,Control,1,Sniff,450,420,0.0
11.4,Control,1,Groom,30,0,0.0
11.4,Control,1,Groom,60,30,0.0
11.4,Control,1,Groom,90,60,0.0
11.4,Control,1,Groom,120,90,0.0
11.4,Control,1,Groom,150,120,0.0
11.4,Control,1,Groom,180,150,0.0
11.4,Control,1,Groom,210,180,0.0
11.4,Control,1,Groom,240,210,2.0
11.4,Control,1,Groom,270,240,1.0666666666666669
11.4,Control,1,Groom,300,270,0.0
11.4,Control,1,Groom,330,300,0.0
11.4,Control,1,Groom,360,330,0.0
11.4,Control,1,Groom,390,360,0.6666666666666667
11.4,Control,1,Groom,420,390,0.0
11.4,Control,1,Groom,450,420,0.0
11.4,Control,1,Turn,30,0,71.86666666666666
11.4,Control,1,Turn,60,30,52.266666666666666
11.4,Control,1,Turn,90,60,46.93333333333334
11.4,Control,1,Turn,120,90,53.866666666666674
11.4,Control,1,Turn,150,120,35.733333333333334
11.4,Control,1,Turn,180,150,57.46666666666667
11.4,Control,1,Turn,210,180,33.86666666666667
11.4,Control,1,Turn,240,210,9.2
11.4,Control,1,Turn,270,240,52.93333333333333
11.4,Control,1,Turn,300,270,63.06666666666666
11.4,Control,1,Turn,330,300,26.0
11.4,Control,1,Turn,360,330,8.533333333333333
11.4,Control,1,Turn,390,360,1.0666666666666667
11.4,Control,1,Turn,420,390,49.46666666666667
11.4,Control,1,Turn,450,420,37.46666666666667
11.4,Control,1,Locomotion,30,0,0.2666666666666666
11.4,Control,1,Locomotion,60,30,3.6
11.4,Control,1,Locomotion,90,60,0.9333333333333336
11.4,Control,1,Locomotion,120,90,1.2
11.4,Control,1,Locomotion,150,120,6.533333333333333
11.4,Control,1,Locomotion,180,150,7.866666666666666
11.4,Control,1,Locomotion,210,180,1.3333333333333335
11.4,Control,1,Locomotion,240,210,0.8
11.4,Control,1,Locomotion,270,240,0.8
11.4,Control,1,Locomotion,300,270,5.2
11.4,Control,1,Locomotion,330,300,1.8666666666666671
11.4,Control,1,Locomotion,360,330,0.1333333333333333
11.4,Control,1,Locomotion,390,360,0.0
11.4,Control,1,Locomotion,420,390,0.0
11.4,Control,1,Locomotion,450,420,0.0
11.4,Control,1,Climb,30,0,0.0
11.4,Control,1,Climb,60,30,10.4
11.4,Control,1,Climb,90,60,0.0
11.4,Control,1,Climb,120,90,9.333333333333334
11.4,Control,1,Climb,150,120,17.2
11.4,Control,1,Climb,180,150,13.466666666666663
11.4,Control,1,Climb,210,180,7.866666666666666
11.4,Control,1,Climb,240,210,1.3333333333333337
11.4,Control,1,Climb,270,240,6.4
11.4,Control,1,Climb,300,270,0.0
11.4,Control,1,Climb,330,300,0.0
11.4,Control,1,Climb,360,330,0.0
11.4,Control,1,Climb,390,360,0.0
11.4,Control,1,Climb,420,390,0.0
11.4,Control,1,Climb,450,420,0.0
11.4,Control,1,Jump,30,0,0.0
11.4,Control,1,Jump,60,30,0.0
11.4,Control,1,Jump,90,60,0.0
11.4,Control,1,Jump,120,90,0.0
11.4,Control,1,Jump,150,120,1.2
11.4,Control,1,Jump,180,150,0.0
11.4,Control,1,Jump,210,180,5.600000000000001
11.4,Control,1,Jump,240,210,0.4
11.4,Control,1,Jump,270,240,0.0
11.4,Control,1,Jump,300,270,3.6000000000000005
11.4,Control,1,Jump,330,300,1.4666666666666666
11.4,Control,1,Jump,360,330,0.0
11.4,Control,1,Jump,390,360,4.3999999999999995
11.4,Control,1,Jump,420,390,0.9333333333333336
11.4,Control,1,Jump,450,420,0.0
11.6,Control,1,Freeze,30,0,9.066666666666666
11.6,Control,1,Freeze,60,30,2.933333333333333
11.6,Control,1,Freeze,90,60,22.133333333333333
11.6,Control,1,Freeze,120,90,8.799999999999999
11.6,Control,1,Freeze,150,120,4.8
11.6,Control,1,Freeze,180,150,21.46666666666667
11.6,Control,1,Freeze,210,180,23.200000000000003
