recording,group,overlap_pct
Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,68.1336
Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,76.1224
Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,72.6648
Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,72.8855
Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,78.0625
Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,67.1185
Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,88.5536
Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,82.4938
Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,57.7429
Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,55.0595
Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,65.5682
Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,83.1403
Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,80.8601
Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,80.6326
Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,94.819
Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,90.3146
Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,88.842
Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,91.2376
Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,89.2485
Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,89.2846
Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,90.8683
Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,88.9217
Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,77.0661
Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,88.5287
Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,77.2414
Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,79.7506
Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,83.8131
Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,92.3755
Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,91.2093
Animal_147_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,86.9578
Animal_148_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,91.0674
Animal_150_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,92.0412
Animal_150_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,85.3513
Animal_152_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,83.4978
Animal_152_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,91.8664
Animal_153_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,91.6785
Animal_154_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,90.6593
Animal_157_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,77.3187
Animal_157_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,76.8259
Animal_158_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,95.3665
Animal_159_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,79.6173
Animal_159_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,89.2264
Animal_159_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,72.1945
Animal_161_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,90.5987
Animal_161_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,93.208
Animal_40_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,58.4948
Animal_40_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,82.7887
Animal_41_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,78.3514
Animal_41_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,83.9818
Animal_41_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,84.8353
Animal_43_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,77.9891
Animal_43_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,83.6634
Animal_47_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,64.6607
Animal_49_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,60.3039
Animal_49_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,89.3762
Animal_50_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,90.6429
Animal_53_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,84.4181
Animal_54_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,83.5112
Animal_54_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,84.7721
Animal_54_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,90.1281
Animal_55_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,67.1185
Animal_55_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,61.1111
Animal_56_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,86.3098
Animal_58_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,77.8309
Animal_62_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,74.3455
Animal_62_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,85.3288
Animal_62_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,86.4779
Animal_62_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,81.8182
Animal_62_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,68.1351
Animal_63_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,86.4969
Animal_68_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,80.667
Animal_69_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,79.3198
Animal_69_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,62.5654
Animal_69_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,76.3245
Animal_69_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,78.0975
Animal_73_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,82.8712
Animal_73_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,81.3467
Animal_74_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,73.4852
Animal_75_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,83.9066
Animal_80_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,61.3879
Animal_88_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,80.4716
