animal_id,group,experiment,bin,time_s,pct_s0s28
2.4,ELS,1,0,30,0.0
2.4,ELS,1,1,60,10.4
2.4,ELS,1,2,90,4.666666666666667
2.4,ELS,1,3,120,2.0
2.4,ELS,1,4,150,4.533333333333333
2.4,ELS,1,5,180,0.0
2.4,ELS,1,6,210,8.933333333333334
2.4,ELS,1,7,240,21.73333333333333
2.4,ELS,1,8,270,48.266666666666666
2.4,ELS,1,9,300,23.466666666666665
2.4,ELS,1,10,330,25.466666666666665
2.4,ELS,1,11,360,54.13333333333333
2.4,ELS,1,12,390,45.2
2.4,ELS,1,13,420,26.533333333333335
2.4,ELS,1,14,450,36.400000000000006
5.4,Control,1,0,30,0.0
5.4,Control,1,1,60,0.0
5.4,Control,1,2,90,0.0
5.4,Control,1,3,120,12.266666666666666
5.4,Control,1,4,150,4.4
5.4,Control,1,5,180,6.666666666666667
5.4,Control,1,6,210,4.666666666666667
5.4,Control,1,7,240,44.4
5.4,Control,1,8,270,63.6
5.4,Control,1,9,300,41.46666666666667
5.4,Control,1,10,330,38.93333333333333
5.4,Control,1,11,360,48.8
5.4,Control,1,12,390,27.6
5.4,Control,1,13,420,49.333333333333336
5.4,Control,1,14,450,50.8
11.4,Control,1,0,30,0.0
11.4,Control,1,1,60,0.0
11.4,Control,1,2,90,18.933333333333334
11.4,Control,1,3,120,0.0
11.4,Control,1,4,150,6.266666666666667
11.4,Control,1,5,180,0.9333333333333336
11.4,Control,1,6,210,8.933333333333334
11.4,Control,1,7,240,4.533333333333333
11.4,Control,1,8,270,16.53333333333333
11.4,Control,1,9,300,20.933333333333337
11.4,Control,1,10,330,14.399999999999999
11.4,Control,1,11,360,28.0
11.4,Control,1,12,390,23.333333333333336
11.4,Control,1,13,420,44.266666666666666
11.4,Control,1,14,450,62.53333333333333
11.6,Control,1,0,30,9.066666666666666
11.6,Control,1,1,60,2.933333333333333
11.6,Control,1,2,90,22.133333333333333
11.6,Control,1,3,120,8.799999999999999
11.6,Control,1,4,150,4.8
11.6,Control,1,5,180,21.46666666666667
11.6,Control,1,6,210,23.200000000000003
11.6,Control,1,7,240,3.4666666666666663
11.6,Control,1,8,270,22.26666666666667
11.6,Control,1,9,300,19.599999999999998
11.6,Control,1,10,330,65.73333333333333
11.6,Control,1,11,360,32.13333333333333
11.6,Control,1,12,390,48.39999999999999
11.6,Control,1,13,420,65.86666666666667
11.6,Control,1,14,450,61.06666666666667
15.4,ELS,1,0,30,5.2
15.4,ELS,1,1,60,2.2666666666666666
15.4,ELS,1,2,90,1.3333333333333337
15.4,ELS,1,3,120,3.0666666666666664
15.4,ELS,1,4,150,0.0
15.4,ELS,1,5,180,2.533333333333333
15.4,ELS,1,6,210,5.2
15.4,ELS,1,7,240,29.73333333333333
15.4,ELS,1,8,270,0.0
15.4,ELS,1,9,300,4.266666666666667
15.4,ELS,1,10,330,40.13333333333333
15.4,ELS,1,11,360,30.266666666666666
15.4,ELS,1,12,390,46.39999999999999
15.4,ELS,1,13,420,32.800000000000004
15.4,ELS,1,14,450,64.8
15.6,ELS,1,0,30,3.6
15.6,ELS,1,1,60,2.533333333333333
15.6,ELS,1,2,90,0.0
15.6,ELS,1,3,120,8.4
15.6,ELS,1,4,150,8.266666666666666
15.6,ELS,1,5,180,25.066666666666663
15.6,ELS,1,6,210,13.333333333333334
15.6,ELS,1,7,240,14.8
15.6,ELS,1,8,270,11.066666666666666
15.6,ELS,1,9,300,10.133333333333333
15.6,ELS,1,10,330,20.933333333333334
15.6,ELS,1,11,360,35.733333333333334
15.6,ELS,1,12,390,40.93333333333333
15.6,ELS,1,13,420,43.06666666666666
15.6,ELS,1,14,450,34.8
23.4,ELS,1,0,30,0.0
23.4,ELS,1,1,60,7.199999999999999
23.4,ELS,1,2,90,3.0666666666666664
23.4,ELS,1,3,120,6.266666666666667
23.4,ELS,1,4,150,2.4
23.4,ELS,1,5,180,7.066666666666667
23.4,ELS,1,6,210,4.666666666666667
23.4,ELS,1,7,240,20.0
23.4,ELS,1,8,270,18.933333333333334
23.4,ELS,1,9,300,19.066666666666663
23.4,ELS,1,10,330,22.66666666666667
23.4,ELS,1,11,360,19.866666666666667
23.4,ELS,1,12,390,32.13333333333333
23.4,ELS,1,13,420,23.066666666666663
23.4,ELS,1,14,450,35.2
25.1,ELS,1,0,30,0.0
