Animal,Condition,Time Bin,Syllable,Experiment,Percentage
11.4,Control,0.0,1,1,24.933333333333334
11.4,Control,0.0,2,1,17.066666666666666
11.4,Control,0.0,3,1,7.333333333333333
11.4,Control,0.0,4,1,1.0666666666666667
11.4,Control,0.0,5,1,37.86666666666667
11.4,Control,0.0,6,1,1.7333333333333332
11.4,Control,0.0,7,1,6.800000000000001
11.4,Control,0.0,16,1,0.26666666666666666
11.4,Control,0.0,17,1,0.9333333333333335
11.4,Control,0.0,22,1,2.0
11.4,Control,30.0,1,1,6.666666666666667
11.4,Control,30.0,2,1,28.133333333333333
11.4,Control,30.0,3,1,15.2
11.4,Control,30.0,4,1,3.4666666666666663
11.4,Control,30.0,5,1,22.0
11.4,Control,30.0,6,1,8.4
11.4,Control,30.0,7,1,1.2
11.4,Control,30.0,8,1,0.4
11.4,Control,30.0,12,1,3.5999999999999996
11.4,Control,30.0,13,1,0.5333333333333333
11.4,Control,30.0,111,1,10.4
11.4,Control,60.0,0,1,18.933333333333334
11.4,Control,60.0,1,1,1.7333333333333332
11.4,Control,60.0,2,1,18.53333333333333
11.4,Control,60.0,3,1,16.0
11.4,Control,60.0,5,1,3.5999999999999996
11.4,Control,60.0,6,1,25.6
11.4,Control,60.0,7,1,4.3999999999999995
11.4,Control,60.0,8,1,0.26666666666666666
11.4,Control,60.0,13,1,10.0
11.4,Control,60.0,25,1,0.9333333333333335
11.4,Control,90.0,1,1,9.333333333333334
11.4,Control,90.0,2,1,25.066666666666666
11.4,Control,90.0,3,1,12.666666666666668
11.4,Control,90.0,5,1,8.533333333333333
11.4,Control,90.0,6,1,1.4666666666666666
11.4,Control,90.0,7,1,4.266666666666667
11.4,Control,90.0,8,1,0.13333333333333333
11.4,Control,90.0,9,1,0.26666666666666666
11.4,Control,90.0,11,1,1.2
11.4,Control,90.0,15,1,1.0666666666666667
11.4,Control,90.0,20,1,3.4666666666666663
11.4,Control,90.0,22,1,2.4
11.4,Control,90.0,27,1,20.8
11.4,Control,90.0,111,1,9.333333333333334
11.4,Control,120.0,0,1,6.266666666666667
11.4,Control,120.0,1,1,8.266666666666666
11.4,Control,120.0,2,1,4.266666666666667
11.4,Control,120.0,3,1,2.8000000000000003
11.4,Control,120.0,5,1,15.466666666666667
11.4,Control,120.0,6,1,7.333333333333333
11.4,Control,120.0,7,1,1.4666666666666666
11.4,Control,120.0,9,1,0.6666666666666667
11.4,Control,120.0,12,1,1.6
11.4,Control,120.0,15,1,1.866666666666667
11.4,Control,120.0,17,1,2.533333333333333
11.4,Control,120.0,18,1,10.133333333333333
11.4,Control,120.0,25,1,4.933333333333334
11.4,Control,120.0,29,1,1.2
11.4,Control,120.0,37,1,14.000000000000002
11.4,Control,120.0,111,1,17.2
11.4,Control,150.0,0,1,0.9333333333333335
11.4,Control,150.0,1,1,15.733333333333333
11.4,Control,150.0,2,1,2.1333333333333333
11.4,Control,150.0,3,1,20.933333333333334
11.4,Control,150.0,5,1,18.8
11.4,Control,150.0,6,1,2.0
11.4,Control,150.0,7,1,13.866666666666665
11.4,Control,150.0,11,1,2.8000000000000003
11.4,Control,150.0,12,1,3.4666666666666663
11.4,Control,150.0,16,1,0.13333333333333333
11.4,Control,150.0,20,1,4.266666666666667
11.4,Control,150.0,25,1,1.4666666666666666
11.4,Control,150.0,111,1,13.466666666666665
11.4,Control,180.0,0,1,8.933333333333334
11.4,Control,180.0,1,1,12.266666666666666
11.4,Control,180.0,2,1,24.0
11.4,Control,180.0,5,1,12.8
11.4,Control,180.0,6,1,5.333333333333334
11.4,Control,180.0,7,1,2.2666666666666666
11.4,Control,180.0,10,1,1.4666666666666666
11.4,Control,180.0,11,1,0.26666666666666666
11.4,Control,180.0,13,1,5.866666666666666
11.4,Control,180.0,15,1,2.0
11.4,Control,180.0,16,1,1.0666666666666667
11.4,Control,180.0,20,1,9.333333333333334
11.4,Control,180.0,23,1,3.733333333333334
11.4,Control,180.0,30,1,0.9333333333333335
11.4,Control,180.0,31,1,0.13333333333333333
11.4,Control,180.0,34,1,0.9333333333333335
11.4,Control,180.0,36,1,0.8
11.4,Control,180.0,111,1,7.866666666666666
11.4,Control,210.0,0,1,4.533333333333333
11.4,Control,210.0,1,1,2.666666666666667
11.4,Control,210.0,2,1,2.533333333333333
11.4,Control,210.0,4,1,37.06666666666666
11.4,Control,210.0,5,1,6.533333333333332
11.4,Control,210.0,8,1,8.666666666666668
11.4,Control,210.0,9,1,0.4
11.4,Control,210.0,13,1,2.933333333333333
11.4,Control,210.0,16,1,0.4
11.4,Control,210.0,17,1,2.533333333333333
11.4,Control,210.0,19,1,0.4
11.4,Control,210.0,22,1,11.866666666666667
11.4,Control,210.0,23,1,0.4
11.4,Control,210.0,24,1,2.0
11.4,Control,210.0,31,1,2.666666666666667
11.4,Control,210.0,32,1,3.4666666666666663
11.4,Control,210.0,33,1,0.26666666666666666
11.4,Control,210.0,35,1,1.866666666666667
11.4,Control,210.0,36,1,0.8
11.4,Control,210.0,38,1,1.2
11.4,Control,210.0,39,1,2.2666666666666666
11.4,Control,210.0,53,1,3.2
11.4,Control,210.0,111,1,1.3333333333333335
11.4,Control,240.0,0,1,16.53333333333333
11.4,Control,240.0,1,1,25.2
11.4,Control,240.0,3,1,16.266666666666666
11.4,Control,240.0,4,1,0.8
11.4,Control,240.0,5,1,3.4666666666666663
11.4,Control,240.0,6,1,7.866666666666666
11.4,Control,240.0,8,1,0.5333333333333333
11.4,Control,240.0,10,1,0.13333333333333333
11.4,Control,240.0,13,1,2.666666666666667
11.4,Control,240.0,17,1,5.2
11.4,Control,240.0,20,1,6.533333333333332
11.4,Control,240.0,24,1,1.0666666666666667
11.4,Control,240.0,25,1,0.8
11.4,Control,240.0,37,1,6.533333333333332
11.4,Control,240.0,111,1,6.4
11.4,Control,270.0,0,1,14.533333333333335
11.4,Control,270.0,1,1,39.06666666666666
11.4,Control,270.0,2,1,2.2666666666666666
11.4,Control,270.0,4,1,0.26666666666666666
11.4,Control,270.0,5,1,5.466666666666667
11.4,Control,270.0,6,1,16.266666666666666
11.4,Control,270.0,8,1,0.6666666666666667
11.4,Control,270.0,10,1,0.8
11.4,Control,270.0,12,1,1.0666666666666667
11.4,Control,270.0,15,1,1.4666666666666666
11.4,Control,270.0,21,1,1.6
11.4,Control,270.0,22,1,4.0
11.4,Control,270.0,23,1,2.1333333333333333
11.4,Control,270.0,25,1,2.533333333333333
11.4,Control,270.0,28,1,6.4
11.4,Control,270.0,29,1,0.13333333333333333
11.4,Control,270.0,30,1,1.3333333333333335
11.4,Control,300.0,0,1,4.266666666666667
11.4,Control,300.0,1,1,18.0
11.4,Control,300.0,2,1,0.9333333333333335
11.4,Control,300.0,4,1,20.666666666666668
11.4,Control,300.0,5,1,5.466666666666667
11.4,Control,300.0,8,1,1.3333333333333335
11.4,Control,300.0,9,1,0.4
11.4,Control,300.0,12,1,1.3333333333333335
11.4,Control,300.0,15,1,2.533333333333333
11.4,Control,300.0,22,1,11.600000000000001
11.4,Control,300.0,25,1,0.5333333333333333
11.4,Control,300.0,28,1,10.133333333333333
11.4,Control,300.0,30,1,1.4666666666666666
11.4,Control,300.0,32,1,6.0
11.4,Control,300.0,33,1,0.26666666666666666
11.4,Control,300.0,36,1,0.6666666666666667
11.4,Control,300.0,38,1,6.266666666666667
11.4,Control,300.0,40,1,8.133333333333333
11.4,Control,330.0,0,1,22.8
11.4,Control,330.0,1,1,4.266666666666667
11.4,Control,330.0,2,1,4.0
11.4,Control,330.0,4,1,24.933333333333334
11.4,Control,330.0,5,1,3.0666666666666664
11.4,Control,330.0,8,1,1.0666666666666667
11.4,Control,330.0,10,1,0.5333333333333333
11.4,Control,330.0,13,1,2.1333333333333333
11.4,Control,330.0,15,1,0.6666666666666667
11.4,Control,330.0,17,1,0.4
11.4,Control,330.0,19,1,0.13333333333333333
11.4,Control,330.0,22,1,4.8
11.4,Control,330.0,28,1,5.2
11.4,Control,330.0,31,1,0.8
11.4,Control,330.0,32,1,5.466666666666667
11.4,Control,330.0,33,1,0.13333333333333333
11.4,Control,330.0,35,1,0.4
11.4,Control,330.0,38,1,14.666666666666666
11.4,Control,330.0,39,1,2.4
11.4,Control,330.0,54,1,2.1333333333333333
11.4,Control,360.0,0,1,7.466666666666668
11.4,Control,360.0,4,1,15.866666666666667
11.4,Control,360.0,5,1,0.26666666666666666
11.4,Control,360.0,8,1,3.2
11.4,Control,360.0,15,1,0.8
11.4,Control,360.0,23,1,0.13333333333333333
11.4,Control,360.0,24,1,0.6666666666666667
11.4,Control,360.0,28,1,15.866666666666667
11.4,Control,360.0,30,1,1.2
11.4,Control,360.0,31,1,2.666666666666667
11.4,Control,360.0,34,1,3.0666666666666664
11.4,Control,360.0,35,1,6.4
11.4,Control,360.0,38,1,21.46666666666667
11.4,Control,360.0,40,1,20.933333333333334
11.4,Control,390.0,0,1,44.266666666666666
11.4,Control,390.0,1,1,27.73333333333333
11.4,Control,390.0,3,1,5.333333333333334
11.4,Control,390.0,4,1,1.0666666666666667
11.4,Control,390.0,6,1,16.400000000000002
11.4,Control,390.0,7,1,3.0666666666666664
11.4,Control,390.0,17,1,1.2
11.4,Control,390.0,34,1,0.9333333333333335
11.4,Control,420.0,0,1,62.53333333333333
11.4,Control,420.0,1,1,30.266666666666666
11.4,Control,420.0,3,1,6.800000000000001
11.4,Control,420.0,10,1,0.4
11.6,Control,0.0,0,1,9.066666666666666
11.6,Control,0.0,1,1,25.066666666666666
11.6,Control,0.0,2,1,14.000000000000002
11.6,Control,0.0,3,1,2.533333333333333
11.6,Control,0.0,4,1,1.2
11.6,Control,0.0,5,1,16.400000000000002
11.6,Control,0.0,6,1,12.133333333333333
11.6,Control,0.0,7,1,1.866666666666667
11.6,Control,0.0,8,1,0.13333333333333333
11.6,Control,0.0,9,1,0.4
11.6,Control,0.0,11,1,0.8
11.6,Control,0.0,15,1,1.3333333333333335
11.6,Control,0.0,22,1,6.4
11.6,Control,0.0,24,1,0.13333333333333333
11.6,Control,0.0,27,1,7.6
11.6,Control,0.0,33,1,0.9333333333333335
11.6,Control,30.0,0,1,2.933333333333333
11.6,Control,30.0,1,1,6.800000000000001
11.6,Control,30.0,2,1,19.466666666666665
11.6,Control,30.0,3,1,14.266666666666666
11.6,Control,30.0,4,1,6.133333333333333
11.6,Control,30.0,8,1,0.13333333333333333
11.6,Control,30.0,12,1,1.0666666666666667
11.6,Control,30.0,13,1,41.733333333333334
11.6,Control,30.0,24,1,0.4
11.6,Control,30.0,27,1,3.4666666666666663
11.6,Control,30.0,37,1,3.5999999999999996
11.6,Control,60.0,0,1,20.0
11.6,Control,60.0,1,1,7.333333333333333
11.6,Control,60.0,2,1,4.533333333333333
11.6,Control,60.0,3,1,7.333333333333333
11.6,Control,60.0,4,1,0.5333333333333333
11.6,Control,60.0,5,1,9.733333333333333
11.6,Control,60.0,6,1,18.8
11.6,Control,60.0,8,1,0.4
11.6,Control,60.0,9,1,2.0
11.6,Control,60.0,10,1,0.9333333333333335
11.6,Control,60.0,15,1,1.2
11.6,Control,60.0,16,1,0.4
11.6,Control,60.0,19,1,0.26666666666666666
11.6,Control,60.0,20,1,9.466666666666667
11.6,Control,60.0,22,1,4.133333333333333
11.6,Control,60.0,24,1,0.13333333333333333
11.6,Control,60.0,28,1,2.1333333333333333
11.6,Control,60.0,32,1,1.7333333333333332
11.6,Control,60.0,39,1,3.4666666666666663
11.6,Control,60.0,40,1,4.3999999999999995
11.6,Control,60.0,42,1,1.0666666666666667
11.6,Control,90.0,0,1,8.799999999999999
11.6,Control,90.0,1,1,18.0
11.6,Control,90.0,2,1,11.066666666666666
11.6,Control,90.0,3,1,9.6
11.6,Control,90.0,4,1,1.4666666666666666
11.6,Control,90.0,5,1,4.0
11.6,Control,90.0,6,1,9.066666666666666
11.6,Control,90.0,7,1,1.866666666666667
11.6,Control,90.0,11,1,1.0666666666666667
11.6,Control,90.0,13,1,6.533333333333332
11.6,Control,90.0,14,1,1.0666666666666667
11.6,Control,90.0,16,1,0.6666666666666667
11.6,Control,90.0,24,1,0.13333333333333333
11.6,Control,90.0,32,1,6.800000000000001
11.6,Control,90.0,33,1,0.8
11.6,Control,90.0,35,1,1.7333333333333332
11.6,Control,90.0,37,1,16.266666666666666
11.6,Control,90.0,39,1,1.0666666666666667
11.6,Control,120.0,0,1,4.8
11.6,Control,120.0,1,1,17.466666666666665
11.6,Control,120.0,2,1,10.933333333333334
11.6,Control,120.0,3,1,41.199999999999996
11.6,Control,120.0,4,1,1.2
11.6,Control,120.0,5,1,6.4
11.6,Control,120.0,7,1,2.8000000000000003
11.6,Control,120.0,10,1,3.5999999999999996
11.6,Control,120.0,12,1,1.4666666666666666
11.6,Control,120.0,13,1,9.2
11.6,Control,120.0,33,1,0.13333333333333333
11.6,Control,120.0,58,1,0.8
11.6,Control,150.0,0,1,21.46666666666667
11.6,Control,150.0,1,1,12.133333333333333
11.6,Control,150.0,3,1,10.666666666666668
11.6,Control,150.0,4,1,26.13333333333333
11.6,Control,150.0,5,1,6.0
11.6,Control,150.0,6,1,11.733333333333333
11.6,Control,150.0,8,1,0.5333333333333333
11.6,Control,150.0,9,1,0.13333333333333333
11.6,Control,150.0,17,1,4.0
11.6,Control,150.0,24,1,0.5333333333333333
11.6,Control,150.0,25,1,2.2666666666666666
11.6,Control,150.0,31,1,0.6666666666666667
11.6,Control,150.0,39,1,3.4666666666666663
11.6,Control,150.0,43,1,0.26666666666666666
11.6,Control,180.0,0,1,23.200000000000003
11.6,Control,180.0,1,1,38.53333333333334
11.6,Control,180.0,2,1,6.4
11.6,Control,180.0,3,1,3.2
11.6,Control,180.0,6,1,7.066666666666667
11.6,Control,180.0,7,1,5.066666666666666
11.6,Control,180.0,8,1,0.26666666666666666
11.6,Control,180.0,10,1,0.4
11.6,Control,180.0,11,1,0.6666666666666667
11.6,Control,180.0,18,1,9.066666666666666
11.6,Control,180.0,19,1,0.9333333333333335
11.6,Control,180.0,25,1,0.13333333333333333
11.6,Control,180.0,30,1,2.8000000000000003
11.6,Control,180.0,31,1,1.4666666666666666
11.6,Control,180.0,34,1,0.13333333333333333
11.6,Control,180.0,35,1,0.6666666666666667
11.6,Control,210.0,2,1,1.3333333333333335
11.6,Control,210.0,4,1,36.13333333333333
11.6,Control,210.0,7,1,0.6666666666666667
11.6,Control,210.0,8,1,1.7333333333333332
11.6,Control,210.0,9,1,0.8
11.6,Control,210.0,17,1,1.866666666666667
11.6,Control,210.0,19,1,1.7333333333333332
11.6,Control,210.0,22,1,17.733333333333334
11.6,Control,210.0,28,1,3.4666666666666663
11.6,Control,210.0,31,1,6.0
11.6,Control,210.0,35,1,5.866666666666666
11.6,Control,210.0,36,1,1.6
11.6,Control,210.0,38,1,6.4
11.6,Control,210.0,40,1,13.466666666666665
11.6,Control,210.0,52,1,1.2
11.6,Control,240.0,4,1,7.733333333333333
11.6,Control,240.0,8,1,2.933333333333333
11.6,Control,240.0,9,1,0.5333333333333333
11.6,Control,240.0,22,1,16.0
11.6,Control,240.0,28,1,22.26666666666667
11.6,Control,240.0,35,1,1.6
11.6,Control,240.0,38,1,16.933333333333334
11.6,Control,240.0,39,1,1.866666666666667
11.6,Control,240.0,40,1,30.133333333333333
11.6,Control,270.0,0,1,12.533333333333333
11.6,Control,270.0,1,1,6.800000000000001
11.6,Control,270.0,2,1,14.533333333333335
11.6,Control,270.0,3,1,4.133333333333333
11.6,Control,270.0,4,1,4.266666666666667
11.6,Control,270.0,5,1,2.4
11.6,Control,270.0,6,1,12.0
11.6,Control,270.0,8,1,0.9333333333333335
11.6,Control,270.0,9,1,1.4666666666666666
11.6,Control,270.0,10,1,0.4
11.6,Control,270.0,12,1,0.6666666666666667
11.6,Control,270.0,14,1,0.9333333333333335
11.6,Control,270.0,15,1,0.4
11.6,Control,270.0,16,1,1.4666666666666666
11.6,Control,270.0,19,1,0.4
11.6,Control,270.0,21,1,1.0666666666666667
11.6,Control,270.0,22,1,9.466666666666667
11.6,Control,270.0,28,1,7.066666666666667
11.6,Control,270.0,29,1,0.9333333333333335
11.6,Control,270.0,30,1,0.4
11.6,Control,270.0,32,1,6.666666666666667
11.6,Control,270.0,34,1,1.7333333333333332
11.6,Control,270.0,35,1,2.666666666666667
11.6,Control,270.0,36,1,0.9333333333333335
11.6,Control,270.0,111,1,5.733333333333333
11.6,Control,300.0,0,1,54.400000000000006
11.6,Control,300.0,1,1,23.200000000000003
11.6,Control,300.0,3,1,6.800000000000001
11.6,Control,300.0,5,1,1.0666666666666667
11.6,Control,300.0,11,1,0.9333333333333335
11.6,Control,300.0,22,1,1.2
11.6,Control,300.0,27,1,1.0666666666666667
11.6,Control,300.0,28,1,11.333333333333332
11.6,Control,330.0,0,1,32.13333333333333
11.6,Control,330.0,1,1,17.599999999999998
11.6,Control,330.0,3,1,10.133333333333333
11.6,Control,330.0,4,1,2.666666666666667
11.6,Control,330.0,5,1,3.733333333333334
11.6,Control,330.0,8,1,0.13333333333333333
11.6,Control,330.0,9,1,0.4
11.6,Control,330.0,17,1,5.866666666666666
11.6,Control,330.0,19,1,0.13333333333333333
11.6,Control,330.0,20,1,3.8666666666666667
11.6,Control,330.0,22,1,6.533333333333332
11.6,Control,330.0,35,1,1.7333333333333332
11.6,Control,330.0,40,1,13.466666666666665
11.6,Control,330.0,51,1,1.6
11.6,Control,360.0,0,1,39.733333333333334
11.6,Control,360.0,1,1,1.3333333333333335
11.6,Control,360.0,3,1,11.066666666666666
11.6,Control,360.0,4,1,15.333333333333332
11.6,Control,360.0,5,1,4.266666666666667
11.6,Control,360.0,8,1,0.26666666666666666
11.6,Control,360.0,9,1,0.8
