metric,effect,experiment,beta,se,z,p_value,cohens_d
Exp1 Freezing Time Effect,time,Exp1,3.7677857142857145,0.14224096805873387,26.48875190957592,1.3062804624766238e-154,
Exp1 Freezing ELS×Time,group:time,Exp1,-0.998261904761903,0.20984619588817807,-4.757112229443761,1.963820014499283e-06,0.9283506177748163
Exp3 Freezing Time Effect,time,Exp3,4.449439775910367,0.1887242466270327,23.57640767115418,6.730424212325404e-123,
Exp3 Freezing ELS×Time,group:time,Exp3,-0.7582492997198897,0.27103456441742063,-2.797611077206039,0.005148206197304497,0.5548910882612674
Combined Freezing Time Effect,time,Combined,4.080978120978122,0.11749973820458812,34.731806073239134,2.6091213138829388e-264,
Combined Freezing ELS×Time,group:time,Combined,-0.8645856245856259,0.17113110280595986,-5.052182861031126,4.367892199299063e-07,0.6686833246578843
s0_s28_overlap_pct_all,overlap,All,80.78233086419755,,,,
s0_s28_overlap_pct_control,overlap,All,81.48654390243904,,,,
s0_s28_overlap_pct_control_std,overlap,All,9.132307704327772,,,,
s0_s28_overlap_pct_els,overlap,All,80.06051249999999,,,,
s0_s28_overlap_pct_els_std,overlap,All,10.42566597140325,,,,
S0+S28 Control Mean Freezing,timecourse,All,2275.512195121951,203.31898670447646,,,
S0+S28 ELS Mean Freezing,timecourse,All,1871.132791327913,192.42241547005557,,,
