metric_category,metric,group,mean,std,sem,n
diversity,simpson,Control,0.700992441291016,0.03372497196025378,0.00526695574062059,41
diversity,simpson,ELS,0.6796238300892736,0.03524133433243409,0.006544151496671898,29
diversity,simpson,ELS resilient,0.7067102839449729,0.02924005534257266,0.00844087691157694,12
diversity,shannon,Control,1.4079494545991231,0.0888713806550329,0.01387937784113078,41
diversity,shannon,ELS,1.3859600245312194,0.08756765309360319,0.016260904954587405,29
diversity,shannon,ELS resilient,1.421546465299136,0.10262025935969853,0.02962391718281558,12
diversity,evenness,Control,0.6983072159860907,0.041164442706934805,0.006428805873590002,41
diversity,evenness,ELS,0.6869839567939822,0.048799501645441286,0.009061839960921818,29
diversity,evenness,ELS resilient,0.70347345319129,0.06042491313504637,0.01744316993213939,12
diversity,cui,Control,0.24597857538403747,0.157478494823823,0.024594008953191814,41
diversity,cui,ELS,0.3131822703091577,0.14691499228347116,0.027281429175358144,29
diversity,cui,ELS resilient,0.30102608778321355,0.1550917084205766,0.044771119802849424,12
bout_duration,Freezing,Control,1.16556167125344,1.5860772860012367,0.025087493418769882,3997
bout_duration,Freezing,ELS,0.9759852216748769,1.1294944691493787,0.022884712809945435,2436
bout_duration,Freezing,ELS resilient,1.2510504201680672,1.6644027428200112,0.04824862509737693,1190
bout_duration,Sniffing,Control,1.2635814889336017,1.98455265585225,0.08901935271980083,497
bout_duration,Sniffing,ELS,1.7798804780876494,2.6287417179361827,0.11732648474723724,502
bout_duration,Sniffing,ELS resilient,1.4435897435897436,2.1896305379396233,0.15680269968695296,195
bout_duration,Grooming,Control,0.2616822429906542,0.053012742884414876,0.0051249352930759695,107
bout_duration,Grooming,ELS,0.275974025974026,0.08683407862820826,0.009895661656812134,77
bout_duration,Grooming,ELS resilient,0.27419354838709675,0.07513428837969109,0.013494516557001221,31
bout_duration,Turn,Control,1.280069830411857,1.8235200128943518,0.021768815359034056,7017
bout_duration,Turn,ELS,1.4801440329218107,2.08522418187993,0.029911253813073264,4860
bout_duration,Turn,ELS resilient,1.3351254480286738,1.9091541495474798,0.04320060949683728,1953
bout_duration,Locomotion,Control,0.47477693891558,0.438608770574899,0.008125171528208533,2914
bout_duration,Locomotion,ELS,0.4614561027837259,0.3777947735851818,0.008741128599982481,1868
bout_duration,Locomotion,ELS resilient,0.4740532959326788,0.4613122251422221,0.017276278602064106,713
bout_duration,Climbing,Control,0.9277845777233782,0.7855069629420811,0.02748140995846779,817
bout_duration,Climbing,ELS,0.9664048865619547,0.7962607038574399,0.03326426811417901,573
bout_duration,Climbing,ELS resilient,0.9292035398230089,0.7813585224528091,0.05197519577787883,226
bout_duration,Jump,Control,0.48490338164251207,0.4628267346253182,0.022746693037980215,414
bout_duration,Jump,ELS,0.517921146953405,0.5289646268831624,0.03166828385761025,279
bout_duration,Jump,ELS resilient,0.49390243902439024,0.4179176210030176,0.03768236286508735,123
transition,lz,Control,191.85365853658536,35.46798625211879,5.539168839606754,41
transition,lz,ELS,183.17241379310346,30.108220241461872,5.590956139647421,29
transition,lz,ELS resilient,185.5,29.834391381271868,8.612446947542983,12
transition,recurrence,Control,0.29900755870898393,0.03372497196025377,0.00526695574062059,41
transition,recurrence,ELS,0.3203761699107263,0.0352413343324341,0.006544151496671899,29
transition,recurrence,ELS resilient,0.293289716055027,0.02924005534257266,0.00844087691157694,12
transition,determinism,Control,0.808511558137831,0.04062186018519399,0.0063440687200347345,41
transition,determinism,ELS,0.8265860246287862,0.037797271510516484,0.0070187771153152065,29
transition,determinism,ELS resilient,0.8155514166327001,0.035877349081807695,0.010356898575095924,12
transition,markov,Control,1.1192293894453935,0.16014142793851288,0.025009889235370678,41
transition,markov,ELS,1.079072619405894,0.15254542077990532,0.028326973499085195,29
transition,markov,ELS resilient,1.0841832466329555,0.1461241410991939,0.042182406099361226,12
