feature,Freeze,Sniff,Groom,Turn,Locomotion,Climb,Jump,Unassigned
Left Body 3 - Tail Variability,0.0244602683985549,0.1186662555620559,0.2068706469706545,0.0082481699128006,0.0861930169509258,0.040557602775263,0.3142389765069862,0.0175896014109046
Right Body 3 - Tail Variability,0.0246897966166473,0.1000109159350232,0.2295872682298784,0.0257338497540311,0.0933534299522581,0.0264826522038979,0.1305438404234422,0.0138180657923954
Angular Velocity,0.2784148928049843,0.0834927242223797,0.007225968662459,0.0443017818328949,0.0310358515069862,0.007225968662459,0.1132057859259702,0.0554577539969937
Right Body 1 Movement,0.0,0.0028861171725539,0.0,0.0267505463305377,0.0008582286933759,0.0131675134300696,0.5619623101321228,0.0
Distance between Left Body 2 and Right Body 2,0.0417381051004372,0.061464854425731,0.0075922796849378,0.1099426819998633,0.0096201681641158,0.1901284317137537,0.0425908291199781,0.0338288896492381
Global Turning Speed,0.3819186076925048,0.0038097347187585,0.0,0.0141405062324918,0.0112598937337728,0.0333751710785904,0.0260562901941274,0.0202023197829837
Right Head 1 - Nose Variability,0.0291664309109387,0.0393769336417907,0.000393500775058,0.0385789227440045,0.0085105593656053,0.2836513388968126,0.0422191802319622,0.0083574293480117
Right Body 1 - Right Body 2 Variability,0.0492866810112906,0.0366547890262025,0.010024678286844,0.0620278324315899,0.1624979716110959,0.0257119978669889,0.0877726915332912,0.0146050673425116
Center Body Speed,0.3441650524071639,0.0099589558174193,0.0018639159222123,0.02235581491058,0.0237223084880602,0.0078710163509497,0.0137359961097635,0.0047663803079734
Turning Speed Variability,0.0346160580076523,0.012336641297571,0.0032467567128996,0.0322602244145429,0.023891785718861,0.0045148333945408,0.3004591098148401,0.0046569540644643
Left Body 1 Movement,0.0108663929587148,0.0120523999577241,0.0,0.0,0.0440175404930479,0.0115551444212899,0.3266301641180138,0.0037386743837968
Average Nose Speed,0.2452692499444862,0.0076304787851872,0.0009564787809169,0.0706204614798271,0.0174911845150655,0.0256409375320271,0.0014046926777295,0.0368242662570032
Right Body 1 - Center Distance,0.0070838479925355,0.2706149367889963,0.0045695465162954,0.0108445410716725,0.0188685206319178,0.0278109466811287,0.0179120418510009,0.0478272752118065
Center Speed Variability,0.0062039342204154,0.0141460109063268,0.2984695872442095,0.0128450729899733,0.0049467000781463,0.0254551130880192,0.0228805938161895,0.0172943507233875
Right Head 2 - Tail Distance,0.0040884713847704,0.0048427785084722,0.3326919776685058,0.0168406321527398,0.0246132316078505,0.0025635099241596,0.0027166399417532,0.0119649924095552
Left Body 3 - Center Variability,0.0889313419714232,0.0170264565967477,0.0058212759847294,0.0298496776996788,0.0378354581596747,0.0173872629453915,0.1852909910708185,0.0077178863333561
Body Width Variability,0.0178846852901236,0.1127904332638699,0.0001803197701728,0.0324734054194281,0.0513637779383882,0.0420223464402842,0.1112326105685467,0.0086800365964061
Right Head 1 Lateral Variability,0.009062528023794,0.0173106979365946,0.3086580712797213,0.0048482831823073,0.0143153213288296,0.0174473139326831,0.0025034589368679,0.0012462247945989
Average Tail Speed,0.2507625808152842,0.0163597238295128,0.0005521354664867,0.0156546251537305,0.0276796685505773,0.0368571274917156,0.021393831455828,0.0007488024498667
Instant Tail Speed,0.2574255714718844,0.0172014385013835,0.0022519120234353,0.0050506216478204,0.016764067143943,0.0075594184502254,0.0172014385013835,0.0424105093498052
