panel,metric,family,horizon_min,cv_auc,cv_lo,cv_hi
Frequency,Freeze frequency,frequency,0.5,0.40281609195402296,0.3043103448275862,0.5063218390804598
Frequency,Sniff frequency,frequency,0.5,0.4654022988505747,0.3635057471264368,0.5373563218390804
Frequency,Groom frequency,frequency,0.5,0.3999425287356322,0.31896551724137934,0.4755747126436782
Frequency,Turn frequency,frequency,0.5,0.5242528735632185,0.47528735632183905,0.5798850574712644
Frequency,Locomotion frequency,frequency,0.5,0.32275862068965516,0.21982758620689655,0.42011494252873566
Frequency,Climb frequency,frequency,0.5,0.3448275862068966,0.27270114942528734,0.3936781609195403
Frequency,Jump frequency,frequency,0.5,0.439367816091954,0.3390804597701149,0.5267241379310345
Diversity,Simpson index,diversity,0.5,0.5125287356321839,0.4867816091954023,0.5379310344827586
Diversity,Shannon entropy,diversity,0.5,0.41367816091954024,0.35804597701149427,0.46091954022988507
Diversity,Evenness index,diversity,0.5,0.4101149425287356,0.3310344827586207,0.48965517241379314
Diversity,Cumulative usage,diversity,0.5,0.577816091954023,0.5499999999999999,0.6022988505747127
Transition,Lempel-Ziv,transition,0.5,0.42436781609195406,0.33591954022988507,0.5195402298850574
Transition,Recurrence,transition,0.5,0.5125287356321839,0.4867816091954023,0.5379310344827586
Transition,Determinism,transition,0.5,0.4762068965517241,0.3545977011494253,0.5431034482758621
Transition,Markov entropy,transition,0.5,0.48850574712643685,0.4074712643678161,0.5477011494252874
Bout,Mean bout duration,bout,0.5,0.5194252873563218,0.48333333333333334,0.5545977011494253
Bout,Freeze bout duration,bout,0.5,0.45270114942528733,0.4117816091954023,0.5129310344827587
Bout,Sniff bout duration,bout,0.5,0.3732183908045977,0.2655172413793103,0.47643678160919545
Bout,Groom bout duration,bout,0.5,0.40683908045977013,0.31896551724137934,0.4755747126436782
Bout,Turn bout duration,bout,0.5,0.5386781609195402,0.5160919540229885,0.5609195402298851
Bout,Locomotion bout duration,bout,0.5,0.3474137931034483,0.22787356321839083,0.45603448275862074
Bout,Climb bout duration,bout,0.5,0.34229885057471265,0.2908045977011494,0.39712643678160925
Bout,Jump bout duration,bout,0.5,0.41626436781609194,0.30057471264367813,0.5255747126436782
Frequency,Freeze frequency,frequency,1.0,0.3742528735632184,0.2939655172413793,0.48649425287356324
Frequency,Sniff frequency,frequency,1.0,0.34764367816091957,0.2456896551724138,0.4620689655172414
Frequency,Groom frequency,frequency,1.0,0.3970689655172414,0.310632183908046,0.4971264367816092
Frequency,Turn frequency,frequency,1.0,0.33195402298850574,0.2505747126436782,0.40689655172413797
Frequency,Locomotion frequency,frequency,1.0,0.31942528735632186,0.25862068965517243,0.41954022988505746
Frequency,Climb frequency,frequency,1.0,0.4179885057471264,0.2988505747126437,0.5011494252873563
Frequency,Jump frequency,frequency,1.0,0.4085057471264368,0.34367816091954023,0.460632183908046
Diversity,Simpson index,diversity,1.0,0.4355172413793103,0.3545977011494253,0.5172413793103449
Diversity,Shannon entropy,diversity,1.0,0.3865517241379311,0.3431034482758621,0.43505747126436783
Diversity,Evenness index,diversity,1.0,0.4444827586206897,0.3568965517241379,0.5172413793103449
Diversity,Cumulative usage,diversity,1.0,0.4649425287356322,0.3873563218390805,0.5333333333333333
Transition,Lempel-Ziv,transition,1.0,0.3582183908045977,0.27586206896551724,0.4574712643678161
Transition,Recurrence,transition,1.0,0.4355172413793103,0.3545977011494253,0.5172413793103449
Transition,Determinism,transition,1.0,0.3648275862068966,0.27816091954022987,0.47011494252873565
Transition,Markov entropy,transition,1.0,0.36,0.2913793103448276,0.43275862068965515
