predictor,kind,n_features,auc_kru_to_gom,ci_kru_lo,ci_kru_hi,auc_gom_to_kru,ci_gom_lo,ci_gom_hi,worst_direction_auc,cv_auc,cv_ci_low,cv_ci_high,cv_auc_repeat_mean,cv_auc_repeat_sd
Freeze frequency,single,1,0.7833333333333333,0.5,1.0,0.9298245614035088,0.7982456140350878,1.0,0.7833333333333333,0.8160919540229885,0.6494252873563219,0.9454022988505748,0.8095402298850576,0.009476951664468
Sniff frequency,single,1,0.6833333333333333,0.3666666666666666,0.9333333333333332,0.543859649122807,0.2807017543859649,0.8070175438596491,0.543859649122807,0.396551724137931,0.2327586206896551,0.5833333333333334,0.4581609195402298,0.0764474036925646
Groom frequency,single,1,0.5833333333333334,0.2916666666666667,0.8666666666666667,0.5175438596491229,0.2456140350877192,0.7982456140350878,0.5175438596491229,0.3936781609195402,0.2011494252873563,0.6006465517241375,0.4083908045977011,0.0600365575238076
Turn frequency,single,1,0.8,0.5495833333333334,1.0,0.868421052631579,0.6929824561403509,0.9912280701754386,0.8,0.8419540229885057,0.7068247126436782,0.9540229885057472,0.8350574712643679,0.009385018171583
Locomotion frequency,single,1,0.35,0.0,0.7,0.4298245614035088,0.175438596491228,0.7105263157894737,0.35,0.2040229885057471,0.0862068965517241,0.3563218390804598,0.3282758620689655,0.066290929867859
Climb frequency,single,1,0.5333333333333333,0.2333333333333333,0.85,0.4473684210526316,0.1929824561403508,0.7280701754385965,0.4473684210526316,0.4310344827586206,0.2471264367816092,0.6178879310344824,0.395632183908046,0.0819667642828404
Jump frequency,single,1,0.45,0.1666666666666666,0.75,0.5350877192982456,0.2982456140350877,0.7631578947368421,0.45,0.4683908045977011,0.2844109195402299,0.6637931034482759,0.420919540229885,0.0940849534452273
All frequencies,block,7,0.8166666666666667,0.5666666666666667,1.0,0.631578947368421,0.3771929824561403,0.868421052631579,0.631578947368421,0.8419540229885057,0.6924568965517242,0.956896551724138,0.8267816091954024,0.0315276726507897
Simpson index,single,1,0.75,0.4666666666666667,1.0,0.7280701754385965,0.4912280701754385,0.9212719298245602,0.7280701754385965,0.7040229885057471,0.514367816091954,0.8620689655172413,0.6997701149425288,0.0171236401326891
Shannon entropy index,single,1,0.65,0.3333333333333333,0.9166666666666666,0.5964912280701754,0.3070175438596491,0.8771929824561403,0.5964912280701754,0.5229885057471264,0.3074712643678161,0.7327586206896551,0.5260919540229885,0.0514367816091954
Evenness index,single,1,0.55,0.2333333333333333,0.85,0.6228070175438597,0.3596491228070175,0.8771929824561403,0.55,0.4971264367816091,0.2959770114942529,0.6954022988505747,0.4766666666666666,0.0623377799647963
Cumulative usage index,single,1,0.6833333333333333,0.3666666666666666,0.95,0.5964912280701754,0.2982456140350877,0.8771929824561403,0.5964912280701754,0.3793103448275862,0.2011494252873563,0.5689655172413793,0.3926436781609195,0.0683485332514303
