horizon_min,predictor,n_features,cv_auc,cv_lo,cv_hi,auc_kru_to_gom,auc_gom_to_kru
0.5,All behaviour time shares,7,0.3368965517241379,0.2362068965517241,0.4183908045977011,0.55,0.5789473684210527
0.5,Diversity metrics,4,0.6101149425287357,0.5540229885057472,0.6528735632183909,0.65,0.4649122807017544
0.5,Transition summaries,4,0.3445977011494253,0.2482758620689655,0.4195402298850574,0.7,0.631578947368421
0.5,Bout durations,8,0.4839080459770115,0.4040229885057471,0.5362068965517242,0.7,0.5350877192982456
0.5,All metrics,23,0.5372413793103449,0.4798850574712643,0.6166666666666667,0.65,0.6228070175438597
1.0,All behaviour time shares,7,0.2208045977011494,0.1637931034482758,0.282183908045977,0.6166666666666667,0.4298245614035088
1.0,Diversity metrics,4,0.3357471264367816,0.2632183908045977,0.3896551724137931,0.5,0.4736842105263157
1.0,Transition summaries,4,0.2525287356321839,0.1534482758620689,0.3293103448275862,0.5333333333333333,0.5350877192982456
1.0,Bout durations,8,0.3434482758620689,0.2655172413793103,0.4402298850574713,0.4666666666666667,0.4035087719298245
1.0,All metrics,23,0.2973563218390805,0.2201149425287356,0.3695402298850574,0.55,0.3508771929824561
1.5,All behaviour time shares,7,0.4118390804597701,0.3419540229885057,0.506896551724138,0.6666666666666666,0.6228070175438597
1.5,Diversity metrics,4,0.3667816091954023,0.2683908045977011,0.4563218390804597,0.2333333333333333,0.3947368421052631
1.5,Transition summaries,4,0.2127586206896551,0.1178160919540229,0.2798850574712644,0.4333333333333333,0.4912280701754385
1.5,Bout durations,8,0.356896551724138,0.2804597701149425,0.4350574712643678,0.55,0.5
1.5,All metrics,23,0.4237931034482758,0.3103448275862069,0.5206896551724138,0.3833333333333333,0.5877192982456141
2.0,All behaviour time shares,7,0.3605747126436781,0.2758620689655172,0.4396551724137931,0.6166666666666667,0.5614035087719298
2.0,Diversity metrics,4,0.4745977011494252,0.3793103448275862,0.5465517241379311,0.5333333333333333,0.4561403508771929
2.0,Transition summaries,4,0.2342528735632183,0.1655172413793103,0.2942528735632184,0.4333333333333333,0.4473684210526316
2.0,Bout durations,8,0.4208045977011494,0.3574712643678161,0.4839080459770115,0.55,0.6491228070175439
2.0,All metrics,23,0.4041379310344827,0.3189655172413793,0.4649425287356322,0.65,0.5877192982456141
2.5,All behaviour time shares,7,0.2697701149425288,0.1833333333333333,0.353448275862069,0.5833333333333334,0.5
2.5,Diversity metrics,4,0.4882758620689655,0.4333333333333333,0.5379310344827586,0.6333333333333333,0.5
2.5,Transition summaries,4,0.2705747126436781,0.1902298850574712,0.3281609195402299,0.6166666666666667,0.5
2.5,Bout durations,8,0.4394252873563218,0.3908045977011494,0.4942528735632184,0.4833333333333333,0.5877192982456141
2.5,All metrics,23,0.3894252873563218,0.3189655172413793,0.4735632183908046,0.55,0.4912280701754385
3.0,All behaviour time shares,7,0.272183908045977,0.1879310344827586,0.3741379310344828,0.5166666666666667,0.4736842105263157
3.0,Diversity metrics,4,0.3479310344827586,0.2775862068965517,0.4293103448275862,0.55,0.5087719298245614
3.0,Transition summaries,4,0.3048275862068965,0.2367816091954023,0.3735632183908046,0.6833333333333333,0.5
3.0,Bout durations,8,0.4908045977011494,0.446551724137931,0.5333333333333334,0.7333333333333333,0.6403508771929824
3.0,All metrics,23,0.441264367816092,0.3614942528735632,0.535632183908046,0.6666666666666666,0.6842105263157895
3.5,All behaviour time shares,7,0.2888505747126437,0.1729885057471264,0.4183908045977011,0.5666666666666667,0.5789473684210527
3.5,Diversity metrics,4,0.2957471264367816,0.2132183908045977,0.3775862068965517,0.5666666666666667,0.543859649122807
3.5,Transition summaries,4,0.2475862068965517,0.196551724137931,0.3051724137931034,0.5666666666666667,0.4912280701754385
3.5,Bout durations,8,0.5903448275862069,0.5224137931034483,0.6413793103448276,0.75,0.5964912280701754
3.5,All metrics,23,0.4668965517241379,0.3747126436781609,0.5419540229885058,0.65,0.6754385964912281
4.0,All behaviour time shares,7,0.5531034482758621,0.4867816091954023,0.6051724137931035,0.5666666666666667,0.631578947368421
4.0,Diversity metrics,4,0.3935632183908046,0.2919540229885057,0.4781609195402299,0.7,0.5789473684210527
4.0,Transition summaries,4,0.391264367816092,0.3040229885057471,0.482183908045977,0.3666666666666666,0.5175438596491229
4.0,Bout durations,8,0.4703448275862069,0.4074712643678161,0.5350574712643679,0.5666666666666667,0.5087719298245614
4.0,All metrics,23,0.5496551724137931,0.4586206896551724,0.6367816091954024,0.55,0.5614035087719298
4.5,All behaviour time shares,7,0.5916091954022988,0.5344827586206896,0.6482758620689656,0.4,0.6228070175438597
4.5,Diversity metrics,4,0.4128735632183907,0.2971264367816092,0.5212643678160921,0.5666666666666667,0.6140350877192983
4.5,Transition summaries,4,0.5037931034482758,0.4344827586206897,0.5873563218390806,0.4,0.5350877192982456
4.5,Bout durations,8,0.4294252873563218,0.3775862068965517,0.4862068965517241,0.4833333333333333,0.543859649122807
4.5,All metrics,23,0.5190804597701149,0.4258620689655172,0.6068965517241379,0.4,0.5526315789473685
5.0,All behaviour time shares,7,0.5557471264367817,0.4833333333333333,0.6293103448275863,0.4833333333333333,0.6052631578947368
5.0,Diversity metrics,4,0.3733333333333333,0.2591954022988506,0.45,0.5,0.6052631578947368
5.0,Transition summaries,4,0.4398850574712643,0.3620689655172414,0.5218390804597701,0.3833333333333333,0.5263157894736842
5.0,Bout durations,8,0.4417241379310345,0.3896551724137931,0.5275862068965518,0.5666666666666667,0.4912280701754385
5.0,All metrics,23,0.4725287356321839,0.4063218390804597,0.553448275862069,0.45,0.5701754385964912
5.5,All behaviour time shares,7,0.6094252873563218,0.5528735632183909,0.6505747126436782,0.5833333333333334,0.6052631578947368
5.5,Diversity metrics,4,0.4864367816091953,0.4057471264367816,0.5465517241379311,0.4333333333333333,0.6052631578947368
5.5,Transition summaries,4,0.551264367816092,0.4890804597701149,0.6143678160919541,0.4166666666666667,0.5789473684210527
5.5,Bout durations,8,0.5298850574712644,0.482183908045977,0.621264367816092,0.5833333333333334,0.4824561403508772
5.5,All metrics,23,0.5913793103448276,0.5172413793103449,0.6454022988505748,0.5666666666666667,0.5526315789473685
6.0,All behaviour time shares,7,0.7186206896551723,0.6764367816091954,0.7666666666666666,0.6,0.6666666666666666
6.0,Diversity metrics,4,0.6473563218390804,0.5712643678160919,0.6954022988505748,0.6333333333333333,0.5964912280701754
6.0,Transition summaries,4,0.6526436781609196,0.6155172413793103,0.6994252873563218,0.5166666666666667,0.5701754385964912
6.0,Bout durations,8,0.5816091954022988,0.5172413793103449,0.6632183908045977,0.5666666666666667,0.4912280701754385
6.0,All metrics,23,0.7041379310344827,0.6551724137931034,0.7603448275862069,0.6,0.5877192982456141
6.5,All behaviour time shares,7,0.7418390804597701,0.6994252873563218,0.7804597701149426,0.6666666666666666,0.6491228070175439
