behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Freeze,1,global_body_angular_velocity,Global body angular velocity,0.38197851181030273,-0.26273107528686523,0.3417401909828186,0.006653630238439476,-1.1381597518920898,0.5853680968284607,2638,True
Freeze,2,S2_velocity,Center body velocity,0.3442194163799286,-0.23200534284114838,0.33825311064720154,0.006585737307560603,-0.8844438195228577,0.5452196598052979,2638,True
Freeze,3,angular_velocity,Angular velocity,0.27845707535743713,-0.20348891615867615,0.25887587666511536,0.005040274472920099,-1.0562200546264648,0.450052946805954,2638,True
Freeze,4,tail_velocity,Tail velocity,0.25746777653694153,-0.1382325440645218,0.2650444805622101,0.005160376265163577,-0.6036672592163086,0.7058218121528625,2638,True
Freeze,5,tail_velocity_roll_mean,Mean tail velocity,0.2507973313331604,-0.20324087142944336,0.2439388781785965,0.004749453353766387,-0.7784132957458496,0.29222410917282104,2638,True
Freeze,6,nose_velocity_roll_mean,Mean nose velocity,0.24530915915966034,-0.015661466866731644,0.3359501361846924,0.00654089874034954,-0.24690043926239014,1.1798863410949707,2638,True
Freeze,7,H2L_velocity_roll_mean,Mean left head 2 velocity,0.2403351366519928,-0.08656884729862213,0.23793436586856842,0.004632546400100251,-0.34393537044525146,0.7594889402389526,2638,True
Freeze,8,H1L_velocity,Left head 1 velocity,0.14189603924751282,-0.08636663109064102,0.13637098670005798,0.002655122647833225,-0.6219894886016846,0.35135114192962646,2638,True
Freeze,9,dist_B2R_H2L_roll_std,SD distance Right body 2 - Left head 2,0.14014264941215515,-0.05975058302283287,0.15850351750850677,0.0030860397015656967,-0.3206357955932617,1.3124607801437378,2638,True
Freeze,10,nose_velocity,Nose velocity,0.12798386812210083,-0.08490586280822754,0.13053405284881592,0.0025414784216135832,-0.3791539669036865,0.324369341135025,2638,True
Freeze,11,H2L_velocity,Left head 2 velocity,0.11327317357063293,-0.019150136038661003,0.12874652445316315,0.002506675511978695,-0.2733125686645508,0.6130985617637634,2638,False
Freeze,12,H2R_velocity,Right head 2 velocity,0.09876927733421326,-0.04026937857270241,0.1039995476603508,0.0020248555872426706,-0.2822018563747406,0.3474436402320862,2638,False
