metric,effect,experiment,beta,se,z,p_value,cohens_d
Exp1 Freezing Time Effect,time,Exp1,3.7677857142857145,0.1422409680587339,26.488751909575917,1.3062804624766238e-154,
Exp1 Freezing ELS×Time,group:time,Exp1,-0.9982619047619042,0.20984619588817807,-4.757112229443767,1.963820014499225e-06,0.9283506177748163
Exp3 Freezing Time Effect,time,Exp3,4.449439775910366,0.1887242466270327,23.576407671154175,6.730424212326168e-123,
Exp3 Freezing ELS×Time,group:time,Exp3,-0.7582492997198902,0.2710345644174206,-2.7976110772060414,0.005148206197304462,0.5548910882612674
Combined Freezing Time Effect,time,Combined,4.080978120978128,0.1174997382045883,34.731806073239134,2.6091213138829388e-264,
Combined Freezing ELS×Time,group:time,Combined,-0.8645856245856305,0.17113110280596006,-5.052182861031146,4.367892199298587e-07,0.6686833246578843
s0_s28_overlap_pct_all,overlap,All,80.78233086419755,,,,
s0_s28_overlap_pct_control,overlap,All,81.48654390243904,,,,
s0_s28_overlap_pct_control_std,overlap,All,9.132307704327772,,,,
s0_s28_overlap_pct_els,overlap,All,80.06051249999999,,,,
s0_s28_overlap_pct_els_std,overlap,All,10.42566597140325,,,,
S0+S28 Control Mean Freezing,timecourse,All,2275.512195121951,203.31898670447646,,,
S0+S28 ELS Mean Freezing,timecourse,All,1871.132791327913,192.42241547005557,,,
