figure,cluster,parameter,beta,se,z,p_value,ci_low,ci_high
3A,Freeze,Intercept,4.281416718335059,0.09465345474572927,45.23254570936023,0.0,4.095899356021138,4.46693408064898
3A,Freeze,"C(group, Treatment('Control'))[T.ELS]",-0.20412630471147994,0.08131594134935236,-2.5102864373727836,0.012063326575541372,-0.36350262112518195,-0.04474998829777796
3A,Freeze,experiment,0.18788175925605363,0.03978076246117423,4.722930070519011,2.32470801216463e-06,0.10991289755460919,0.26585062095749806
3A,Sniff,Intercept,1.661566220482414,0.26377334499822225,6.2992195837438105,2.9914795726349334e-10,1.14457996420424,2.178552476760588
3A,Sniff,"C(group, Treatment('Control'))[T.ELS]",0.6228054897762152,0.23102218430143975,2.6958687610864813,0.007020532102261779,0.17001032891561862,1.0756006506368117
3A,Sniff,experiment,0.4874551613458785,0.11907164658047971,4.09379709901308,4.2436570325150155e-05,0.2540790224682564,0.7208313002235006
3A,Groom,Intercept,-0.5186537941665597,0.2795101210086191,-1.85558144476123,0.06351324050215212,-1.0664835646578854,0.029175976324766095
3A,Groom,"C(group, Treatment('Control'))[T.ELS]",0.05974394449156008,0.34070722543757737,0.17535273698651294,0.8608024755236421,-0.6080299466386605,0.7275178356217806
3A,Groom,experiment,-0.38556456589007515,0.18789590562127303,-2.052011535936431,0.04016854131339979,-0.7538337737503074,-0.01729535802984289
3A,Turn,Intercept,5.245306333076956,0.039100224376934875,134.1502872850814,0.0,5.168671301510728,5.321941364643183
3A,Turn,"C(group, Treatment('Control'))[T.ELS]",0.10054042902462365,0.03244543033426138,3.098754677895458,0.0019433586339639855,0.036948554106567985,0.1641323039426793
3A,Turn,experiment,0.004246808729486131,0.017087440475967393,0.24853392966951657,0.8037213213333191,-0.029243959191381917,0.037737576650354175
3A,Locomotion,Intercept,3.8162585175869044,0.15565836021204438,24.516887576023777,9.758306042834297e-133,3.511173737678735,4.121343297495073
3A,Locomotion,"C(group, Treatment('Control'))[T.ELS]",-0.1571674268726267,0.15977635703517534,-0.9836713628288929,0.32527712461741676,-0.47032333224258327,0.15598847849732989
3A,Locomotion,experiment,-0.4003576779010164,0.09247539748537571,-4.3293426012505645,1.4955511636870291e-05,-0.5816061264283787,-0.21910922937365412
3A,Climb,Intercept,3.1215263559844306,0.14191043887672586,21.99645340182497,3.1139593727546706e-107,2.8433870067557754,3.399665705213086
3A,Climb,"C(group, Treatment('Control'))[T.ELS]",0.03710526795975106,0.14055914657410554,0.263983304282432,0.7917927838111118,-0.2383855970231823,0.3125961329426844
3A,Climb,experiment,-0.19739824573521564,0.07623357571344301,-2.5893872075110664,0.009614691486968538,-0.3468133085462713,-0.047983182924159984
3A,Jump,Intercept,1.1921231633711113,0.11835975316335517,10.072031509949102,7.34451284398017e-24,0.9601423099518844,1.4241040167903383
3A,Jump,"C(group, Treatment('Control'))[T.ELS]",0.013980926974265328,0.10885283914147363,0.12843879024684535,0.8978017351766971,-0.1993667173579549,0.22732857130648557
3A,Jump,experiment,-0.037049137942270556,0.06159539225302381,-0.6014920367757177,0.5475123141013893,-0.1577738883718147,0.08367561248727357
