recording,animal,group,metric,mds1,mds2,dynamics_score,resilient_by_zero,loocv_accuracy
Animal 11_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,11.4,Control,Correlation,-0.00814011057239938,-0.17940048801294287,-0.6081808879368774,False,0.6463414634146342
Animal 11_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,11.6,Control,Correlation,0.1723197336489356,-0.19833339929926627,-0.3607123728189317,False,0.6463414634146342
Animal 15_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,15.4,ELS,Correlation,0.17538748896558495,0.08147694578278711,0.1079626753389276,False,0.6463414634146342
Animal 15_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,15.6,ELS,Correlation,0.039236326456357454,0.08912838996674045,0.7889110857709559,False,0.6463414634146342
Animal 23_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,23.4,ELS,Correlation,-0.056955086482036545,0.0418638878227323,1.019910140544527,False,0.6463414634146342
Animal 25_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,25.1,ELS,Correlation,0.0026999181958292243,0.08404900712812019,1.3008910003614407,False,0.6463414634146342
Animal 26_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,26.4,ELS,Correlation,0.054181080088762296,-0.1046394501206786,-0.9269889834515332,True,0.6463414634146342
Animal 2_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,2.4,ELS,Correlation,0.03591479267199509,0.021941285586851673,0.3205422882499458,False,0.6463414634146342
Animal 32_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,32.2,ELS,Correlation,-0.07634028100056484,0.14471103315528322,0.6649844325979757,False,0.6463414634146342
Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,32.4,ELS,Correlation,-0.006330745711367468,0.16243528283951383,0.6670385271590238,False,0.6463414634146342
Animal 34_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,34.4,Control,Correlation,-0.18144382715978635,0.13032897714676586,0.36780719085321223,False,0.6463414634146342
Animal 34_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,34.5,Control,Correlation,-0.26047712990014077,0.01080806683444176,0.1100990479216237,False,0.6463414634146342
Animal 5_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,5.4,Control,Correlation,0.1206218570169406,-0.01323734976220808,-0.23036360293749591,False,0.6463414634146342
Animal_123_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,123.1,ELS,Correlation,0.07752195395557594,0.038793314271644654,0.21357765298961962,False,0.6463414634146342
Animal_123_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,123.3,ELS,Correlation,0.07345694961563025,-0.07674938454072859,-0.8203540596637595,True,0.6463414634146342
Animal_128_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,128.4,ELS,Correlation,0.39872297591311373,0.15824371673457113,0.03806465928963546,False,0.6463414634146342
Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,129.1,Control,Correlation,0.4586009790096467,-0.08571119911473743,-0.08989778273428932,False,0.6463414634146342
Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,129.4,Control,Correlation,0.2199178990002858,-0.12356007931738261,-0.2769226169957084,False,0.6463414634146342
Animal_133_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,133.3,ELS,Correlation,0.1605914576022519,-0.022210900553725425,-0.2042203749119924,True,0.6463414634146342
Animal_134_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,134.2,ELS,Correlation,0.09049598421971614,-0.11857849242824256,-0.6561005811450302,True,0.6463414634146342
Animal_134_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,134.4,ELS,Correlation,0.04888703940902344,-0.0027018196468765426,-0.23950182318493185,True,0.6463414634146342
Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.2,Control,Correlation,0.10840446792589913,0.11113231131562507,0.3401609872831849,False,0.6463414634146342
Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.3,Control,Correlation,0.03550826774941946,0.06379206134480347,0.8346144628169133,False,0.6463414634146342
Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.5,Control,Correlation,0.2985651474185651,-0.21363891075828612,-0.21716548240000003,False,0.6463414634146342
Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,137.3,Control,Correlation,-0.1399691913500718,0.22048525001755107,0.3982602579190319,False,0.6463414634146342
Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,144.3,ELS,Correlation,-0.018655279676927077,0.15639895359900147,0.7036368989091513,False,0.6463414634146342
Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,144.5,ELS,Correlation,0.10385350036884172,0.2434450807436411,0.3240231597379945,False,0.6463414634146342
Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,145.5,Control,Correlation,0.04949704488958147,0.021582466329133625,0.19380907528464356,False,0.6463414634146342
Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,146.6,Control,Correlation,0.21883062100886705,-0.1557211991455095,-0.29291133331275043,False,0.6463414634146342
