Animal,Condition,Experiment,LZ_complexity,Recurrence_Rate,Determinism,MarkovEntropy
11.4,Control,1,190,0.29974156860254875,0.8277541949974107,1.0951244891136098
11.6,Control,1,187,0.30571977391411403,0.823714486968772,1.0609475586564485
123.1,ELS,3,135,0.3471015,0.864684659472045,0.848953610396163
123.3,ELS,3,156,0.3362588882446289,0.8534499163544752,0.9153417799566266
128.4,ELS,3,144,0.24611302278081515,0.8575849667400272,0.9178909875216092
129.1,Control,3,113,0.25239175065148056,0.8795028508403763,0.7919965211692522
129.4,Control,3,109,0.3314339714910687,0.8826858527747912,0.7542606868262083
133.3,ELS,3,167,0.322189870573389,0.8130541585189922,1.0223953299262165
134.2,ELS,3,169,0.2909972153684224,0.8307096814394667,1.0362529885409786
134.4,ELS,3,166,0.346264463414017,0.835639474928756,1.0433268234320396
136.2,Control,3,152,0.2993912374851096,0.8435997320794831,0.977707321558795
136.3,Control,3,135,0.36348261560710915,0.8736640352104753,0.8913532788324094
136.5,Control,3,130,0.27783632554229865,0.8509954496959552,0.8597005044012269
137.3,Control,3,168,0.2857726877577828,0.8504483612664192,1.050792555284885
144.3,ELS,3,150,0.41652978886661224,0.8826436270088505,0.9479913404676155
144.5,ELS,3,137,0.29652481945902,0.8844371266924734,0.8411085381252235
145.5,Control,3,173,0.3148058945348062,0.8263977231712296,1.0552989320404054
146.6,Control,3,161,0.320424014130644,0.8266735220642056,1.0204520725174426
147.4,Control,3,211,0.2969948993742734,0.7920812731995389,1.2029850107372901
148.4,ELS,3,197,0.2956640957791933,0.8118724149267196,1.1186827475650925
15.4,ELS,1,163,0.27816768614350584,0.8485575389066061,0.9962500357738259
15.6,ELS,1,184,0.3148020530836984,0.8238448314757544,1.079934894373944
150.3,ELS,3,149,0.32648031593023036,0.8453581841342807,0.9267671724599518
150.5,ELS,3,190,0.2493072940587932,0.7983424616380107,1.2027027243447725
152.3,Control,3,231,0.25829674274599274,0.7323569923165004,1.3307933175445157
152.5,Control,3,193,0.32160290548961207,0.7976104527411839,1.1618539923242237
153.4,ELS,3,136,0.3584665732402825,0.8679263842302509,0.8679867871434624
154.4,ELS,3,167,0.32609900842654865,0.8328122159873818,1.017055661127896
157.1,Control,3,205,0.28777324861512144,0.7863055012483224,1.150872516109892
157.4,Control,3,173,0.32642668155007454,0.8302390130856949,1.0449101225186215
158.5,Control,3,176,0.3084079142011834,0.8235886673032001,1.0490846766652644
159.3,ELS,3,133,0.301094072175358,0.8773839576123668,0.8520416909405779
159.4,ELS,3,147,0.29220799487020893,0.8257854294329345,0.9422384393333716
159.5,ELS,3,141,0.3352019843577057,0.8925600851840584,0.8735516881626679
161.1,Control,3,144,0.35030421312043336,0.847306412700199,0.8944383948843901
161.3,Control,3,161,0.3309481930026913,0.8488271814105818,0.9929097902755302
2.4,ELS,1,201,0.3073616913897563,0.7813692209835627,1.169736631749879
23.4,ELS,1,203,0.3205006513329695,0.7632721341416602,1.2483360102343037
25.1,ELS,1,175,0.3603721017005234,0.8397456586906875,1.0256107802500847
