cluster,group,time_min,mean,sem,n
Inaccurate tracking,Control,0.5,24.946341463414633,2.7062060759057784,41
Inaccurate tracking,Control,1.0,22.07479674796748,2.1010878523428307,41
Inaccurate tracking,Control,1.5,19.68130081300813,1.9259510193592284,41
Inaccurate tracking,Control,2.0,19.408130081300815,1.9402011394094143,41
Inaccurate tracking,Control,2.5,14.045528455284552,1.6403952842163012,41
Inaccurate tracking,Control,3.0,18.217886178861786,2.0443153045569478,41
Inaccurate tracking,Control,3.5,14.991869918699186,1.8479435506840136,41
Inaccurate tracking,Control,4.0,12.543089430894309,2.484852278385228,41
Inaccurate tracking,Control,4.5,8.78048780487805,1.2317881859201967,41
Inaccurate tracking,Control,5.0,12.104065040650406,1.4382804562730291,41
Inaccurate tracking,Control,5.5,8.770731707317074,1.5234642607635345,41
Inaccurate tracking,Control,6.0,9.177235772357724,1.7543374196191186,41
Inaccurate tracking,Control,6.5,8.816260162601626,1.3326924892624747,41
Inaccurate tracking,Control,7.0,8.38048780487805,1.8393563206371848,41
Inaccurate tracking,Control,7.5,6.386991869918699,1.3285018550713006,41
Inaccurate tracking,ELS,0.5,22.559349593495934,2.744329337462892,41
Inaccurate tracking,ELS,1.0,18.035772357723577,2.351598772951793,41
Inaccurate tracking,ELS,1.5,15.83739837398374,1.7677356005018898,41
Inaccurate tracking,ELS,2.0,16.123577235772355,2.0076568350561006,41
Inaccurate tracking,ELS,2.5,19.284552845528456,2.149142419740145,41
Inaccurate tracking,ELS,3.0,13.606504065040651,1.6557231038519062,41
Inaccurate tracking,ELS,3.5,12.292682926829269,1.5998795314552727,41
Inaccurate tracking,ELS,4.0,10.796747967479675,1.7923806688017965,41
Inaccurate tracking,ELS,4.5,9.03739837398374,1.5381720203286382,41
Inaccurate tracking,ELS,5.0,9.697560975609756,1.2694195535915296,41
Inaccurate tracking,ELS,5.5,4.699186991869919,0.8191181786052091,41
Inaccurate tracking,ELS,6.0,6.2959349593495935,1.4883359485778747,41
Inaccurate tracking,ELS,6.5,4.022764227642276,1.1182632918977307,41
Inaccurate tracking,ELS,7.0,5.440650406504065,0.7965538173935457,41
Inaccurate tracking,ELS,7.5,5.4731707317073175,1.3161819729007393,41
Mix behaviors,Control,0.5,6.117073170731707,1.2381662734871721,41
Mix behaviors,Control,1.0,9.515447154471545,2.046980755526846,41
Mix behaviors,Control,1.5,8.90731707317073,2.39005264430322,41
Mix behaviors,Control,2.0,7.167479674796748,1.5497584774696331,41
Mix behaviors,Control,2.5,5.619512195121952,0.9481925293113979,41
Mix behaviors,Control,3.0,5.076422764227642,0.9299636061754745,41
Mix behaviors,Control,3.5,4.816260162601626,0.7546954391646747,41
Mix behaviors,Control,4.0,4.669918699186992,0.8114290355789308,41
Mix behaviors,Control,4.5,7.151219512195122,1.839952609838413,41
Mix behaviors,Control,5.0,4.383739837398374,0.9215892379531879,41
Mix behaviors,Control,5.5,4.855284552845529,1.174516916063525,41
Mix behaviors,Control,6.0,9.534959349593496,2.5118780024542255,41
Mix behaviors,Control,6.5,6.578861788617886,1.349066602996008,41
Mix behaviors,Control,7.0,6.198373983739837,1.2900631017630513,41
Mix behaviors,Control,7.5,8.946341463414635,1.836609370850511,41
Mix behaviors,ELS,0.5,6.1170731707317065,0.9433055541538952,41
Mix behaviors,ELS,1.0,6.003252032520326,1.068306542336253,41
Mix behaviors,ELS,1.5,6.663414634146341,1.303857007512985,41
Mix behaviors,ELS,2.0,6.985365853658536,1.2554736788316763,41
Mix behaviors,ELS,2.5,7.447154471544715,1.444657936093089,41
Mix behaviors,ELS,3.0,5.330081300813008,0.7156097376243018,41
Mix behaviors,ELS,3.5,3.658536585365854,0.5887297203197843,41
Mix behaviors,ELS,4.0,5.047154471544715,1.0004504240399568,41
Mix behaviors,ELS,4.5,5.6,1.1034216308342673,41
Mix behaviors,ELS,5.0,6.149593495934959,1.182594594754964,41
Mix behaviors,ELS,5.5,4.88780487804878,0.7779147967653691,41
Mix behaviors,ELS,6.0,7.583739837398374,1.646072405997853,41
Mix behaviors,ELS,6.5,6.2178861788617885,1.1274044449987537,41
Mix behaviors,ELS,7.0,8.972357723577236,1.3742521506239722,41
Mix behaviors,ELS,7.5,6.084552845528456,1.2028129280085578,41
