feature,iqr_shift
Mean Spine 1 - Center Body Distance,1822198.4755852555
Spine 1 - Center Body Distance,1654638.293513794
SD Spine 1 - Center Body Distance,555590.0939748881
SD Delta Spine 1 - Center Body Distance,546269.6754764282
Mean Delta Spine 1 - Center Body Distance,4527.874157551965
Delta Spine 1 - Center Body Distance,3043.788534069971
SD Delta Nose - Center Body Distance,229.66679036680756
SD Delta Spine 1 - Nose Distance,222.6096337780261
SD Body Area,171.55693649836638
SD Nose - Center Body Distance,74.8883278238902
Mean Body Area,61.189370479618006
SD Spine 1 - Nose Distance,60.68528608598451
Body Area,58.46824379338261
SD Nose Velocity,27.564143846655536
Mean Nose - Center Body Distance,23.819811775240762
SD Body Curvature,22.089459229451126
Nose - Center Body Distance,21.345735529682464
SD Spine 1 Velocity,20.95101129132672
Mean Spine 1 Velocity,19.520442252165612
Mean Summed Velocity Lag5,18.94196005243277
Mean Summed Velocity Lag2,18.72697931270518
Mean Nose Velocity,18.69311633719025
Mean Summed Velocity Lag1,18.68370798286585
Mean Summed Velocity,18.16011309696662
SD Delta Nose Velocity,16.76038599349062
SD Delta Spine 1 Velocity,12.956604801928812
SD Summed Velocity,12.412196543472849
SD Summed Velocity Lag1,11.77827579190246
SD Summed Velocity Lag2,11.730188800547372
SD Summed Velocity Lag5,11.163410785975335
Mean Spine 1 - Nose Distance,10.080157940470338
SD Accel Nose Velocity,9.979408756204293
Spine 1 - Nose Distance,9.453383604366856
SD Delta Summed Velocity,8.5632042268519
SD Accel Spine 1 Velocity,7.400439765016833
Center Body Y,5.232393941166275
SD Accel Summed Velocity,5.112022243659937
Summed Velocity Lag2,3.4667166336691833
Summed Velocity Lag5,3.447616981735943
Summed Velocity Lag1,3.414059662151062
Summed Velocity,3.361754127545413
Mean Delta Spine 1 - Nose Distance,3.0261811386748527
Center Body X,2.851535704940167
Spine 1 Velocity,2.5357148310516475
Nose Velocity,2.271732081620926
Mean Summed Velocity FFT High Energy,2.201844779321141
Summed Velocity FFT High Energy,2.112205816021397
Mean Summed Velocity Dominant Freq,1.513495720868993
Mean Delta Nose - Center Body Distance,1.4977551150883988
SD Summed Velocity FFT High Energy,1.3934485677091004
Mean Body Curvature,1.2697174168935517
Mean Summed Velocity FFT Low Energy,1.2597002152065608
SD Summed Velocity FFT Low Energy,1.2381218248237316
SD Summed Velocity Dominant Freq,1.2322975949573989
Summed Velocity FFT Low Energy,1.1723753867059683
Summed Velocity Dominant Freq,0.9222222222222222
Delta Nose - Center Body Distance,0.8255547668372144
Delta Spine 1 - Nose Distance,0.8240937663042516
Body Curvature,0.6427717295241803
Mean Delta Nose Velocity,0.2039130717324431
Mean Delta Spine 1 Velocity,0.17711244921137348
Mean Delta Summed Velocity,0.1646022123648673
Mean Accel Summed Velocity,0.09624065840973622
Mean Accel Nose Velocity,0.07660488508791401
Accel Summed Velocity,0.0466888538290831
Accel Spine 1 Velocity,0.03680829765723226
Mean Accel Spine 1 Velocity,0.01825184476854192
Delta Summed Velocity,0.013409597836529024
Delta Spine 1 Velocity,0.011259800391591761
Accel Nose Velocity,0.009260162881960746
Delta Nose Velocity,0.004204324118912391
