panel,label,beta,SE,z_reported,beta_over_SE,p_text,p_from_z,flag
Fig1A,time (SGomez&Krugers24),3.721,0.128,29.048,29.07,<0.001,0.0,
Fig1B,time (SGomez et al.24),4.412,0.191,23.091,23.099,<0.001,0.0,
Fig1A,ELSxtime (SGomez&Krugers24),-0.887,0.181,-4.898,-4.901,<0.001,0.0,
Fig1B,ELSxtime (SGomez et al.24),-0.721,0.27,-2.667,-2.67,0.008,0.0077,
Fig1C,ELSxtime (combined),-0.822,0.154,-5.327,-5.338,<0.001,0.0,
Fig2E,time (S0+S28),0.126,0.004,32.602,31.5,<0.001,0.0,
Fig2E,ELSxtime (S0+S28),-0.023,0.005,-4.241,-4.6,<0.001,0.0,
SuppF1,inaccurate-track exclusion,-2.341,0.942,-2.486,-2.485,0.013,0.0129,
Fig3A,freezing frequency,-0.204,0.081,-2.511,-2.519,0.012,0.012,
Fig3A,turn frequency,0.1,0.032,3.099,3.125,0.002,0.0019,
Fig3A,sniffing frequency,-0.068,0.185,-2.133,-0.368,0.033,0.0329,z!=beta/SE
Fig3B,freezing ELSxtime,-0.023,0.005,-4.241,-4.6,<0.001,0.0,
Fig3C,locomotion ELSxtime,0.005,0.002,2.553,2.5,0.011,0.0107,
Fig3E,sniffing ELSxtime,-0.014,0.004,-3.656,-3.5,<0.001,0.0003,
Fig3F,turn ELSxtime,0.026,0.007,3.61,3.714,<0.001,0.0003,
Fig4E,Simpson diversity,-0.013,0.007,-2.039,-1.857,0.041,0.0415,
Fig4HI,CUI,-0.027,0.009,-3.079,-3.0,0.002,0.0021,
Fig4J,freezing bout dur,-0.105,0.053,-2.001,-1.981,0.045,0.0454,
Fig4K,sniffing bout dur,0.322,0.129,2.506,2.496,0.012,0.0122,
Fig4M,turn bout dur,0.159,0.052,3.088,3.058,0.002,0.002,
Fig4U,recurrence rate,0.013,0.006,2.264,2.167,0.024,0.0236,
Fig4V,determinism,0.016,0.005,3.382,3.2,0.001,0.0007,
Fig4W,Markov entropy,-0.041,0.018,-2.342,-2.278,0.019,0.0192,
Fig5B,behavioral dynamics score,0.336,0.087,3.869,3.862,<0.001,0.0001,
Fig5C,freeze resilient vs vuln,0.18,0.038,4.681,4.737,<0.001,0.0,
Fig5C,freeze resilient vs ctrl,-0.342,0.082,-4.168,-4.171,<0.001,0.0,
Fig5C,sniffing (resil contrast),0.492,0.119,4.139,4.134,<0.001,0.0,
Fig5C,grooming (resil contrast),-0.398,0.187,-2.123,-2.128,0.003,0.0338,p!=p(z)
Fig5C,turn (resil contrast),0.009,0.016,0.568,0.562,<0.001,0.57,p_not_<0.001
Fig5C,locomotion (resil contrast),-0.424,0.089,-4.755,-4.764,<0.001,0.0,
Fig5C,climbing (resil contrast),-0.196,0.074,-2.624,-2.649,0.009,0.0087,
Fig5D,freeze-time resil vs ELS,-1.865,0.249,-7.484,-7.49,<0.001,0.0,
Fig5D,freeze-time resil vs ctrl,0.619,0.238,2.599,2.601,0.009,0.0093,
Fig5E,turn-time (resil),1.622,0.326,4.967,4.975,<0.001,0.0,
Fig5G,sniffing start (resil),-0.338,0.176,-1.92,-1.92,0.05,0.0549,
Fig6G,vuln Simpson vs ctrl,-0.022,0.008,-2.835,-2.75,0.005,0.0046,
Fig6G,resil vs vuln Simpson,0.029,0.011,2.627,2.636,0.009,0.0086,
Fig6J,CUI vuln,0.075,0.028,2.664,2.679,0.008,0.0077,
Fig6L,freeze dur resil vs vuln,0.263,0.089,2.969,2.955,0.003,0.003,
Fig6O,turn dur,-0.201,0.089,-2.255,-2.258,0.024,0.0241,
Fig6M,sniff dur vuln vs ctrl,-0.42,0.128,-3.285,-3.281,0.001,0.001,
Fig6X,recurrence vuln,0.022,0.008,2.798,2.75,0.005,0.0051,
Fig6Y,determinism vuln,0.022,0.008,2.803,2.75,0.005,0.0051,
Fig6W,Lempel-Ziv vuln,-10.59,5.186,-2.042,-2.042,0.041,0.0412,
Fig6X,recurrence resil vs vuln,-0.029,0.011,-2.727,-2.636,0.006,0.0064,
Fig6Z,Markov entropy vuln,-0.051,0.026,-1.951,-1.962,0.050,0.0511,
