feature,jen_median,aya_median,jen_iqr,aya_iqr,median_shift_iqr,iqr_ratio,aya_norm_median,aya_norm_iqr,pct_clipped_at_boundary,group
SD Symmetry Body1,0.2528958694930682,0.0,0.06394429857891851,0.0,3.9549400824367513,0.0,-3.888554665306311,0.0,0.0,other
Body Area,16432.76396979601,1583.8228822406381,3861.567824990023,366.9114369661402,3.8453140694463235,0.09501618347648423,-3.344581951761268,0.07666610007888686,0.01080246913580247,other
Mean Body Area,16662.910735387988,1591.778810517813,3994.138645345456,348.9109771954679,3.773312161417637,0.0873557500569163,-3.3436783939069983,0.07133302713295686,0.027777777777777776,other
Mean Left Body 2 - Right Body 2 Distance,113.5080798193847,38.292775041074435,23.17788947321681,5.043095291741018,3.2451317392476677,0.2175821615496339,-3.678044936582703,0.23382432769725447,4.520061728395062,distance
Mean Head Right 1 - Center Body Distance,148.67483151820227,28.985782975335695,37.247854322238055,7.0596286307310905,3.213313913532161,0.1895311490873257,-2.9559999516507585,0.1616613393523818,0.0,distance
Mean Right Body 2 - Head Left 1 Distance,185.26593083834268,39.586579625707095,45.4483109467065,4.695141203601317,3.2053853746833805,0.10330727601971662,-2.9544795831319193,0.08960448139042176,0.0,distance
Mean Head Left 1 - Center Body Distance,152.36909882299472,29.86250360700471,38.38147358327066,6.770640074171389,3.191815836622463,0.17640385952045648,-2.9335078491415376,0.1548139461496021,0.0,distance
Mean Left Body 2 - Head Right 1 Distance,183.2848549393066,38.87708696392065,46.28448805007906,4.665146010447586,3.1200035705080955,0.10079286186335201,-2.958466364742577,0.09021350334777001,0.0,distance
Left Body 2 - Right Body 2 Distance,113.0622167619296,38.30724935108633,24.15420618703088,5.370034728613959,3.094904747935019,0.22232296466431972,-3.383680433671389,0.23178747300221936,0.9243827160493828,distance
Mean Left Body 2 - Head Left 1 Distance,183.21108873769066,23.347227091056364,52.21491128828862,7.101627060825006,3.061651503418152,0.13600764390109849,-2.889997737237935,0.12639856550901607,0.0,distance
Mean Symmetry Body1,0.3941013486407613,0.0,0.1289912533916579,0.0,3.055256370322614,0.0,-2.855472955006322,0.0,0.0,other
Mean Right Body 2 - Head Right 1 Distance,175.67442225813767,22.35437782255647,51.3082947487209,6.897261821665399,2.988211656350232,0.13442781241209242,-2.725343033681105,0.1138355909891029,0.0,distance
Mean Right Body 2 - Center Body Distance,63.88946322964287,19.931369077683556,14.762231558879648,2.8360149438878857,2.977740457235819,0.1921128883919986,-3.1724678215837314,0.19322213869622518,0.08333333333333334,distance
Right Body 2 - Head Left 1 Distance,185.4754421374181,39.53553413047177,49.01333875579357,5.097261249032158,2.9775549209998604,0.10399742964724357,-2.6831784379388246,0.08864027212899694,0.004629629629629629,distance
