category,metric,beta,se,stat,p,n,gold_beta,gold_se,gold_z,gold_p,beta_tag,se_tag,p_tag
diversity,simpson,-0.01344086860983016,0.00758617752753824,-1.7717577213345022,0.0802908672846837,82,-0.013440869,0.006592931,-2.038678748,0.0414821,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
diversity,shannon,-0.01157388642851323,0.019310637583391153,-0.5993528892317771,0.5506526332009963,82,-0.011573886,0.018343103,-0.630966653,0.528062329,CONFIRMED,CLOSE,CLOSE
diversity,evenness,-0.006497065124603518,0.010423216785401191,-0.6233262972812136,0.5348656252811508,82,-0.006497065,0.009731452,-0.667635767,0.504366121,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
diversity,cui,0.06364578784435604,0.028879205781746062,2.2038621257578073,0.030445442604598427,82,0.063645788,0.021445504,2.967791679,0.002999475,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
bout,Overall,0.04464356706720404,0.03880276375718663,1.1505254457277065,0.25339820837878396,82,0.044643567,0.034937455,1.277813938,0.201315039,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
bout,Freezing,-0.10517398847202836,0.06177797689206262,-1.7024511608042212,0.09260281732943584,82,-0.105173988,0.052566191,-2.00079151,0.045414863,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
bout,Sniffing,0.32232309259984804,0.131143600990318,2.4577874190266007,0.016168952574341536,82,0.322323093,0.128634553,2.505727158,0.012219988,CONFIRMED,CLOSE,NOT REPRODUCED
bout,Grooming,0.013740376882669443,0.011189346459719347,1.2279874371692376,0.22583617622720226,48,0.013740377,0.010360041,1.326286001,0.184744982,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
bout,Turn,0.1592556172861009,0.06019888911436982,2.6454909655149383,0.009839175652801523,82,0.159255617,0.051574764,3.087859328,0.002016039,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
bout,Locomotion,0.0031690169120583457,0.015737820461177027,0.20136313791835797,0.8409322092674997,82,0.003169017,0.015414888,0.205581577,0.837117769,CONFIRMED,CLOSE,CONFIRMED
bout,Climbing,0.01767653173272863,0.03894608624167613,0.453871837674231,0.6511814388550594,81,0.017676532,0.038136176,0.463510856,0.642998235,CONFIRMED,CLOSE,CLOSE
bout,Jump,-0.015732322212101676,0.044174835418959724,-0.3561376530980669,0.7227114251774633,80,-0.015732322,0.024630672,-0.638728906,0.522999305,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
transition,lz,-7.999999999999925,5.718403529987108,-1.3989918616355432,0.165729383664018,82,-8.048780488,5.56672732,-1.445872956,0.148212838,CONFIRMED,CLOSE,NOT REPRODUCED
transition,recurrence,0.013440868609830467,0.00758617752753824,1.7717577213345428,0.08029086728467691,82,0.013440869,0.00593759,2.263690785,0.02359314,CONFIRMED,NOT REPRODUCED,NOT REPRODUCED
transition,determinism,0.01484482512624729,0.0072537457671507264,2.0465047442761897,0.044032834165676306,82,0.016104788,0.004761667,3.382174516,0.000719144,NOT REPRODUCED,NOT REPRODUCED,NOT REPRODUCED
transition,markov,-0.038660976704749536,0.027090617797720363,-1.4270983775055437,0.15749220319609716,82,-0.041186979,0.017585398,-2.342112429,0.019174938,NOT REPRODUCED,NOT REPRODUCED,NOT REPRODUCED
