cluster,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
Freezing,vuln_vs_control,-0.1821,0.0598,-3.0461,0.0023,0.0054,True
Freezing,resilient_vs_control,0.0809,0.0854,0.9463,0.344,0.8092,False
Freezing,resilient_vs_vuln,0.263,0.0886,2.9685,0.003,0.0209,True
Sniffing,vuln_vs_control,0.4202,0.1302,3.2283,0.0012,0.0044,True
Sniffing,resilient_vs_control,0.0857,0.1871,0.458,0.647,0.8092,False
Sniffing,resilient_vs_vuln,-0.3345,0.1964,-1.7036,0.0885,0.2064,False
Grooming,vuln_vs_control,0.0168,0.0088,1.9117,0.0559,0.0979,False
Grooming,resilient_vs_control,0.0056,0.0142,0.394,0.6936,0.8092,False
Grooming,resilient_vs_vuln,-0.0112,0.0156,-0.715,0.4746,0.5537,False
Turn,vuln_vs_control,0.2181,0.061,3.5781,0.0003,0.0024,True
Turn,resilient_vs_control,0.017,0.0854,0.199,0.8423,0.8423,False
Turn,resilient_vs_vuln,-0.2011,0.0892,-2.2553,0.0241,0.0844,False
Locomotion,vuln_vs_control,-0.0051,0.0129,-0.3996,0.6895,0.8044,False
Locomotion,resilient_vs_control,0.0233,0.0209,1.1114,0.2664,0.8092,False
Locomotion,resilient_vs_vuln,0.0284,0.0212,1.3423,0.1795,0.2513,False
Climbing,vuln_vs_control,0.0405,0.0391,1.0337,0.3013,0.4218,False
Climbing,resilient_vs_control,-0.0356,0.049,-0.7268,0.4674,0.8092,False
Climbing,resilient_vs_vuln,-0.0761,0.0544,-1.3994,0.1617,0.2513,False
Jump,vuln_vs_control,-0.0067,0.034,-0.1957,0.8448,0.8448,False
Jump,resilient_vs_control,-0.0369,0.0595,-0.6201,0.5352,0.8092,False
Jump,resilient_vs_vuln,-0.0303,0.0599,-0.5054,0.6133,0.6133,False
