metric,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
LZ_complexity,vuln_vs_control,-8.9654,2.6577,-3.3733,0.0007,0.003,True
LZ_complexity,resilient_vs_control,-3.0004,5.5035,-0.5452,0.5856,0.5856,False
LZ_complexity,resilient_vs_vuln,5.965,6.3677,0.9368,0.3489,0.4613,False
Recurrence,vuln_vs_control,0.0258,0.0085,3.0297,0.0024,0.0049,True
Recurrence,resilient_vs_control,-0.0076,0.0115,-0.6559,0.5119,0.5856,False
Recurrence,resilient_vs_vuln,-0.0333,0.0121,-2.7545,0.0059,0.0235,True
Determinism,vuln_vs_control,0.0096,0.0034,2.8591,0.0042,0.0057,True
Determinism,resilient_vs_control,0.0032,0.005,0.6414,0.5212,0.5856,False
Determinism,resilient_vs_vuln,-0.0064,0.005,-1.2887,0.1975,0.395,False
MarkovEntropyIdx,vuln_vs_control,-0.0435,0.0218,-1.9919,0.0464,0.0464,True
MarkovEntropyIdx,resilient_vs_control,-0.0196,0.0313,-0.6257,0.5315,0.5856,False
MarkovEntropyIdx,resilient_vs_vuln,0.0239,0.0324,0.7367,0.4613,0.4613,False
