metric,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
Entropy,vuln_vs_control,-0.0245,0.019,-1.2923,0.1963,0.3271,False
Entropy,resilient_vs_control,0.0197,0.0276,0.713,0.4758,0.7243,False
Entropy,resilient_vs_vuln,0.0442,0.0291,1.5169,0.1293,0.3121,False
Evenness,vuln_vs_control,-0.0117,0.0105,-1.1151,0.2648,0.331,False
Evenness,resilient_vs_control,0.0061,0.0147,0.4122,0.6802,0.7243,False
Evenness,resilient_vs_vuln,0.0178,0.0154,1.1511,0.2497,0.3121,False
Simpson,vuln_vs_control,-0.022,0.0078,-2.8178,0.0048,0.0242,True
Simpson,resilient_vs_control,0.0072,0.0106,0.6813,0.4957,0.7243,False
Simpson,resilient_vs_vuln,0.0292,0.0111,2.6407,0.0083,0.0414,True
CUI,vuln_vs_control,0.0119,0.0126,0.941,0.3467,0.3467,False
CUI,resilient_vs_control,-0.0092,0.0167,-0.5489,0.5831,0.7243,False
CUI,resilient_vs_vuln,-0.021,0.0169,-1.2447,0.2132,0.3121,False
MarkovEntropy,vuln_vs_control,-0.049,0.0256,-1.9143,0.0556,0.139,False
MarkovEntropy,resilient_vs_control,-0.0137,0.0388,-0.3527,0.7243,0.7243,False
MarkovEntropy,resilient_vs_vuln,0.0353,0.0407,0.8684,0.3852,0.3852,False
