Animal,group,Experiment,bout_mean
11.4,Control,1,1.1638297872340426
11.6,Control,1,1.076086956521739
123.1,ELS,3,1.4164305949008498
123.3,ELS,3,1.3027989821882953
128.4,ELS,3,1.3946629213483146
129.1,Control,3,1.8099250936329587
129.4,Control,3,1.7617753623188406
133.3,ELS,3,1.1750572082379862
134.2,ELS,3,1.2167458432304037
134.4,ELS,3,1.1606741573033708
136.2,Control,3,1.2748091603053435
136.3,Control,3,1.399441340782123
136.5,Control,3,1.5673076923076923
137.3,Control,3,1.2372881355932204
144.3,ELS,3,1.4357142857142857
144.5,ELS,3,1.5440251572327044
145.5,Control,3,1.1625560538116593
146.6,Control,3,1.216824644549763
147.4,Control,3,0.9866236162361623
148.4,ELS,3,1.0462226640159045
15.4,ELS,1,1.3588082901554404
15.6,ELS,1,1.1017745302713988
150.3,ELS,3,1.3217105263157896
150.5,ELS,3,1.0662839248434237
152.3,Control,3,0.8565768621236133
152.5,Control,3,0.9985604606525912
153.4,ELS,3,1.4618768328445748
154.4,ELS,3,1.2698511166253101
157.1,Control,3,1.0145403377110693
157.4,Control,3,1.1818693693693694
158.5,Control,3,1.1981566820276497
159.3,ELS,3,1.506923076923077
159.4,ELS,3,1.2654241645244215
159.5,ELS,3,1.4791044776119402
161.1,Control,3,1.3770491803278688
161.3,Control,3,1.2911392405063291
2.4,ELS,1,0.9901256732495511
23.4,ELS,1,0.8871499176276771
25.1,ELS,1,1.1388888888888888
26.4,ELS,1,1.325974025974026
32.2,ELS,1,1.0829938900203666
32.4,ELS,1,1.244693396226415
34.4,Control,1,1.0993788819875776
34.5,Control,1,0.8700475435816165
40.4,Control,1,0.8887614678899083
40.6,Control,1,0.8859649122807017
41.4,Control,1,1.0300751879699248
41.5,Control,1,0.8790849673202614
41.6,Control,1,1.0354368932038835
43.3,ELS,1,0.8414909638554217
43.5,ELS,1,0.9962406015037594
47.5,Control,1,0.9110099337748344
49.5,ELS,1,1.0070356472795496
49.6,ELS,1,0.9693223443223443
5.4,Control,1,1.1462882096069869
50.5,Control,1,1.0873180873180872
53.5,Control,1,0.9041940789473685
54.3,Control,1,0.9622144112478032
54.4,Control,1,1.2181490384615385
54.6,Control,1,1.074435318275154
55.3,ELS,1,0.8231884057971014
55.5,ELS,1,0.9642857142857143
56.3,ELS,1,0.9556737588652482
58.5,Control,1,0.8628048780487805
62.1,Control,1,0.8061959654178674
62.2,Control,1,1.0381944444444444
62.3,Control,1,0.863237639553429
62.4,Control,1,0.9291237113402062
62.5,Control,1,0.8983471074380165
63.3,ELS,1,1.1207264957264957
68.1,Control,1,0.94449378330373
69.1,ELS,1,1.02
69.2,ELS,1,0.9396701388888888
69.3,ELS,1,1.0532868525896415
69.5,ELS,1,1.0403543307086613
73.1,ELS,1,1.268170426065163
73.4,ELS,1,1.2799251870324189
74.1,Control,1,1.1454646017699115
75.1,ELS,1,0.8487361769352291
80.3,Control,1,1.3817934782608696
88.2,ELS,1,0.9818097014925373
88.3,ELS,1,0.9629294755877035
