cluster,contrast,beta,SE,z,p,significant
Freeze,Control/ELS,-0.3416478079282853,0.08198848478430125,-4.167021854680041,3.0860492150651185e-05,True
Freeze,Control/Resilient,0.06701861095101186,0.11106292871652636,0.6034291705206886,0.5462232214655676,False
Freeze,ELS/Resilient,0.4086664188792971,0.11760014013775323,3.4750504412715637,0.0005107573006136735,True
Sniff,Control/ELS,0.7122644066487785,0.2476069428918566,2.8765930322069484,0.004019936774777768,True
Sniff,Control/Resilient,0.363075390529554,0.3138676536064639,1.156778617859068,0.24736281987790076,False
Sniff,ELS/Resilient,-0.34918901611922454,0.3124160673577382,-1.117705049783431,0.26369298532681984,False
Groom,Control/ELS,0.06579200684164228,0.42375387688711086,0.1552599526049161,0.8766163859000841,False
Groom,Control/Resilient,0.15652703074423288,0.5310732375744608,0.294737184383701,0.76819465525537,False
Groom,ELS/Resilient,0.09073502390259058,0.5918401476246433,0.15331001836687924,0.8781538005582127,False
Turn,Control/ELS,0.14076956119383172,0.034064049501871245,4.132496378215362,3.588444230979757e-05,True
Turn,Control/Resilient,-0.003747178816627578,0.03407724879298708,-0.10996130701134323,0.9124400613039353,False
Turn,ELS/Resilient,-0.1445167400104587,0.03256805454746968,-4.437377117500765,9.106167537030893e-06,True
Locomotion,Control/ELS,-0.2426275308278193,0.16154534821122588,-1.5019159233887427,0.1331188237189243,False
Locomotion,Control/Resilient,0.021836863328298768,0.2551261072049063,0.08559242943631927,0.9317904168091666,False
Locomotion,ELS/Resilient,0.2644643941561181,0.24423389230425435,1.0828324916783523,0.2788827807889146,False
Climb,Control/ELS,0.01465662029372465,0.14941836462252114,0.0980911572064919,0.9218599091907879,False
Climb,Control/Resilient,0.005732287904290389,0.27205261736627506,0.021070511872976344,0.9831894077874239,False
Climb,ELS/Resilient,-0.0089243323894344,0.2872855372931595,-0.031064328798172662,0.975218237426922,False
Jump,Control/ELS,0.026747324911221407,0.12969890661034117,0.20622629450207552,0.8366141492357301,False
Jump,Control/Resilient,-0.02061379950329856,0.1654846315888874,-0.12456624706099183,0.9008669511585319,False
Jump,ELS/Resilient,-0.04736112441452019,0.17887454725749136,-0.2647728541632224,0.7911844500072999,False
