cluster,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
Freezing,vuln_vs_control,-0.1821,0.0687,-2.6509,0.008,0.0281,True
Freezing,resilient_vs_control,0.0809,0.1073,0.7535,0.4512,0.7325,False
Freezing,resilient_vs_vuln,0.263,0.0995,2.6442,0.0082,0.0573,False
Sniffing,vuln_vs_control,0.4202,0.1778,2.3639,0.0181,0.0422,True
Sniffing,resilient_vs_control,0.0857,0.1554,0.5516,0.5812,0.7325,False
Sniffing,resilient_vs_vuln,-0.3345,0.1762,-1.8992,0.0575,0.1343,False
Grooming,vuln_vs_control,0.0168,0.0138,1.216,0.224,0.392,False
Grooming,resilient_vs_control,0.0056,0.0082,0.6829,0.4947,0.7325,False
Grooming,resilient_vs_vuln,-0.0112,0.0144,-0.7778,0.4367,0.5095,False
Turn,vuln_vs_control,0.2181,0.0776,2.8101,0.005,0.0281,True
Turn,resilient_vs_control,0.017,0.0854,0.199,0.8423,0.8423,False
Turn,resilient_vs_vuln,-0.2011,0.1025,-1.9628,0.0497,0.1343,False
Locomotion,vuln_vs_control,-0.0051,0.0193,-0.2665,0.7898,0.8929,False
Locomotion,resilient_vs_control,0.0233,0.0231,1.0049,0.315,0.7325,False
Locomotion,resilient_vs_vuln,0.0284,0.0246,1.154,0.2485,0.3977,False
Climbing,vuln_vs_control,0.0405,0.0438,0.9243,0.3553,0.4974,False
Climbing,resilient_vs_control,-0.0356,0.0735,-0.4848,0.6278,0.7325,False
Climbing,resilient_vs_vuln,-0.0761,0.071,-1.0712,0.2841,0.3977,False
Jump,vuln_vs_control,-0.0067,0.0495,-0.1346,0.8929,0.8929,False
Jump,resilient_vs_control,-0.0369,0.0521,-0.7083,0.4788,0.7325,False
Jump,resilient_vs_vuln,-0.0303,0.0467,-0.6471,0.5176,0.5176,False
