metric,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
Entropy,vuln_vs_control,-0.0245,0.0185,-1.3278,0.1842,0.3071,False
Entropy,resilient_vs_control,0.0197,0.029,0.6772,0.4983,0.7669,False
Entropy,resilient_vs_vuln,0.0442,0.03,1.4738,0.1405,0.3387,False
Evenness,vuln_vs_control,-0.0117,0.0103,-1.1375,0.2553,0.3192,False
Evenness,resilient_vs_control,0.0061,0.0159,0.382,0.7024,0.7669,False
Evenness,resilient_vs_vuln,0.0178,0.0161,1.1009,0.2709,0.3387,False
Simpson,vuln_vs_control,-0.022,0.0073,-3.0169,0.0026,0.0128,True
Simpson,resilient_vs_control,0.0072,0.0089,0.8106,0.4176,0.7669,False
Simpson,resilient_vs_vuln,0.0292,0.0095,3.0914,0.002,0.01,True
CUI,vuln_vs_control,0.0119,0.0127,0.9376,0.3484,0.3484,False
CUI,resilient_vs_control,-0.0092,0.0185,-0.4951,0.6205,0.7669,False
CUI,resilient_vs_vuln,-0.021,0.0191,-1.1037,0.2697,0.3387,False
MarkovEntropy,vuln_vs_control,-0.049,0.0331,-1.4812,0.1385,0.3071,False
MarkovEntropy,resilient_vs_control,-0.0137,0.0462,-0.2965,0.7669,0.7669,False
MarkovEntropy,resilient_vs_vuln,0.0353,0.0416,0.8491,0.3958,0.3958,False
