metric,contrast,beta,SE,z,p,p_BH_FDR,sig_BH
LZ_complexity,vuln_vs_control,-8.9654,5.2242,-1.7161,0.0861,0.1149,False
LZ_complexity,resilient_vs_control,-3.0004,7.4818,-0.401,0.6884,0.6884,False
LZ_complexity,resilient_vs_vuln,5.965,6.7956,0.8778,0.3801,0.5068,False
Recurrence,vuln_vs_control,0.0258,0.008,3.2371,0.0012,0.0048,True
Recurrence,resilient_vs_control,-0.0076,0.0094,-0.8016,0.4228,0.6884,False
Recurrence,resilient_vs_vuln,-0.0333,0.0103,-3.2527,0.0011,0.0046,True
Determinism,vuln_vs_control,0.0096,0.0044,2.2035,0.0276,0.0551,False
Determinism,resilient_vs_control,0.0032,0.0056,0.5755,0.5649,0.6884,False
Determinism,resilient_vs_vuln,-0.0064,0.0056,-1.1384,0.255,0.5068,False
MarkovEntropyIdx,vuln_vs_control,-0.0435,0.0289,-1.5022,0.1331,0.1331,False
MarkovEntropyIdx,resilient_vs_control,-0.0196,0.0393,-0.4992,0.6176,0.6884,False
MarkovEntropyIdx,resilient_vs_vuln,0.0239,0.0365,0.6542,0.513,0.513,False
