litter,Control,ELS resilient,ELS vulnerable
11,2,0,0
123,0,1,1
128,0,0,1
129,2,0,0
133,0,0,1
134,0,1,1
136,3,0,0
137,1,0,0
144,0,0,2
145,1,0,0
146,1,0,0
147,1,0,0
148,0,1,0
15,0,1,1
150,0,2,0
152,2,0,0
153,0,0,1
154,0,0,1
157,2,0,0
158,1,0,0
159,0,1,2
161,2,0,0
2,0,1,0
23,0,0,1
25,0,0,1
26,0,1,0
32,0,0,2
34,2,0,0
40,2,0,0
41,3,0,0
43,0,2,0
47,1,0,0
49,0,1,1
5,1,0,0
50,1,0,0
53,1,0,0
54,3,0,0
55,0,0,2
56,0,0,1
58,1,0,0
62,5,0,0
63,0,0,1
68,1,0,0
69,0,0,4
73,0,0,2
74,1,0,0
75,0,0,1
80,1,0,0
88,0,0,2
