metric,random_effect,beta,SE,z,p,n_groups
Simpson diversity,animal (published),-0.013440868609830837,0.0071253270829170915,-1.8863511040854812,0.05924765692996195,82
Simpson diversity,litter,-0.013436469887318654,0.00765758667798091,-1.7546611553160338,0.07931728411702223,49
Shannon entropy,animal (published),-0.011573886428513308,0.01859606599409611,-0.6223835961965177,0.5336896641442778,82
Shannon entropy,litter,-0.011569996559901057,0.018995344310887625,-0.6090964380819064,0.5424605184094242,49
Evenness,animal (published),-0.006497065124604124,0.009438376405877986,-0.6883668170468296,0.4912218146422247,82
Evenness,litter,-0.0064970650819196835,0.010316485811626124,-0.6297750222849956,0.5288417899213804,49
Cumulative usage index,animal (published),0.06364578784435602,0.027480926441757668,2.3159986246913906,0.020558343783341145,82
Cumulative usage index,litter,0.06394599367734209,0.029574496606350767,2.162200578711134,0.030602718966781853,49
Lempel-Ziv complexity,animal (published),-8.048780487804878,5.647680387769485,-1.425148013905881,0.1541144199828652,82
Lempel-Ziv complexity,litter,-7.654587332431402,6.968292107811116,-1.0984882972760257,0.2719913250343361,49
Recurrence rate,animal (published),0.01344086860983049,0.007111658504918715,1.8899766630434003,0.05876108128513134,82
Recurrence rate,litter,0.013436469887317922,0.007657586677980993,1.7546611553159195,0.07931728411704178,49
Determinism,animal (published),0.016104788319991695,0.007433225680538118,2.1665948286970096,0.030265762061112308,82
Determinism,litter,0.013621790675348914,0.008881863509517812,1.5336635899382818,0.1251124355151066,49
Markov entropy,animal (published),-0.0411869787414177,0.025455457147112406,-1.6180019279712614,0.10566218217129104,82
Markov entropy,litter,-0.038205178130040186,0.032691568359438566,-1.1686554071062105,0.24254249512408332,49
Freeze bout duration,animal (published),-0.09384744101836942,0.03836425876397598,-2.4462206241422844,0.014436263103894197,82
Freeze bout duration,litter,-0.0782493377594817,0.06434473170314539,-1.2160954858042652,0.22394854997632618,49
Sniff bout duration,animal (published),0.32087940229676004,0.1273798012950552,2.5190760154625584,0.011766325149729567,82
Sniff bout duration,litter,0.30293290121391087,0.1475705288018581,2.0528008110661227,0.04009189985619459,49
Turn bout duration,animal (published),0.16382370310043093,0.06083743988675332,2.6928106015865034,0.007085250561813337,82
Turn bout duration,litter,0.1397424248380199,0.07310887115707741,1.911429114228526,0.055949458213763,49
