metric,beta_litter_n,SE,p
Simpson diversity,0.0010817956028548736,0.003553422086717363,0.7607944590343751
Shannon entropy,0.001104073163024893,0.009157452699366481,0.9040351705474143
Evenness,-0.00019530180239546186,0.005075186947538775,0.9693036249710636
Cumulative usage index,0.010729770508534646,0.014375842110194239,0.45544086002716755
Lempel-Ziv complexity,-0.4012026986665365,3.8197760766940974,0.916349590498761
Recurrence rate,-0.0010817956028564303,0.0035534220867172333,0.760794459034033
Determinism,0.0004886004414758434,0.004773537942608132,0.9184740751978098
Markov entropy,-0.00232340787909906,0.017744460790784275,0.8958250817181259
Freeze bout duration,-0.025088084204896825,0.032093827286613245,0.43438468499624805
Sniff bout duration,0.0012928167756350681,0.07783620859383565,0.9867481839410049
Turn bout duration,0.01876460661600882,0.03881750124794567,0.6288076056968992
