section,parameter,coef,se,z,p_value,ci_low,ci_high
Combined full dataset,Intercept,-9.742,2.009,-4.849,0.0,-13.679,-5.804
Combined full dataset,Stress,0.748,1.939,0.386,0.699,-3.051,4.548
Combined full dataset,Time (per minute),7.982,0.218,36.565,0.0,7.554,8.41
Combined full dataset,Stress x time (per minute),-1.644,0.308,-5.327,0.0,-2.25,-1.04
Combined full dataset,Dataset covariate,2.887,0.825,3.5,0.0,1.27,4.504
Sanguino-Gomez & Krugers,Intercept,-4.774,1.661,-2.875,0.004,-8.029,-1.52
Sanguino-Gomez & Krugers,Stress,0.815,2.348,0.347,0.728,-3.787,5.418
Sanguino-Gomez & Krugers,Time (per minute),7.442,0.256,29.048,0.0,6.94,7.944
Sanguino-Gomez & Krugers,Stress x time (per minute),-1.774,0.362,-4.898,0.0,-2.484,-1.064
Sanguino-Gomez et al.,Intercept,-4.331,2.349,-1.844,0.065,-8.934,0.273
Sanguino-Gomez et al.,Stress,0.644,3.322,0.194,0.846,-5.867,7.154
Sanguino-Gomez et al.,Time (per minute),8.824,0.382,23.091,0.0,8.074,9.572
Sanguino-Gomez et al.,Stress x time (per minute),-1.442,0.54,-2.667,0.008,-2.5,-0.382
