figure,cluster,parameter,beta,se,z,p_value,ci_low,ci_high
3A,Freeze,Intercept,4.281416718335058,0.09465345474572946,45.232545709360124,0.0,4.095899356021136,4.46693408064898
3A,Freeze,"C(group, Treatment('Control'))[T.ELS]",-0.20412630471148008,0.08131594134935242,-2.510286437372783,0.012063326575541397,-0.36350262112518217,-0.04474998829777796
3A,Freeze,experiment,0.1878817592560537,0.03978076246117433,4.722930070519,2.3247080121647494e-06,0.10991289755460903,0.26585062095749834
3A,Sniff,Intercept,1.6615662204824138,0.26377334499822214,6.299219583743812,2.9914795726349107e-10,1.1445799642042398,2.1785524767605877
3A,Sniff,"C(group, Treatment('Control'))[T.ELS]",0.6228054897762154,0.23102218430143978,2.695868761086482,0.00702053210226176,0.1700103289156188,1.075600650636812
3A,Sniff,experiment,0.4874551613458785,0.11907164658047963,4.0937970990130825,4.2436570325149586e-05,0.25407902246825653,0.7208313002235005
3A,Groom,Intercept,-0.5186537941665594,0.2795101210086191,-1.855581444761229,0.06351324050215228,-1.0664835646578852,0.029175976324766317
3A,Groom,"C(group, Treatment('Control'))[T.ELS]",0.059743944491559745,0.3407072254375773,0.175352736986512,0.8608024755236429,-0.6080299466386607,0.7275178356217802
3A,Groom,experiment,-0.38556456589007515,0.18789590562127312,-2.05201153593643,0.040168541313399864,-0.7538337737503076,-0.017295358029842722
3A,Turn,Intercept,5.245306333076956,0.03910022437693479,134.15028728508167,0.0,5.168671301510728,5.321941364643183
3A,Turn,"C(group, Treatment('Control'))[T.ELS]",0.1005404290246237,0.03244543033426138,3.0987546778954598,0.001943358633963975,0.03694855410656804,0.16413230394267936
3A,Turn,experiment,0.004246808729485929,0.01708744047596735,0.24853392966950535,0.8037213213333277,-0.029243959191382042,0.0377375766503539
3A,Locomotion,Intercept,3.816258517586904,0.15565836021204407,24.51688757602382,9.758306042823187e-133,3.511173737678735,4.1213432974950726
3A,Locomotion,"C(group, Treatment('Control'))[T.ELS]",-0.1571674268726263,0.15977635703517531,-0.9836713628288906,0.32527712461741787,-0.4703233322425828,0.15598847849733022
3A,Locomotion,experiment,-0.4003576779010163,0.0924753974853757,-4.329342601250564,1.4955511636870323e-05,-0.5816061264283785,-0.21910922937365404
3A,Climb,Intercept,3.1215263559844306,0.14191043887672625,21.99645340182491,3.113959372758837e-107,2.8433870067557745,3.3996657052130868
3A,Climb,"C(group, Treatment('Control'))[T.ELS]",0.03710526795975077,0.14055914657410562,0.2639833042824298,0.7917927838111136,-0.23838559702318274,0.3125961329426843
3A,Climb,experiment,-0.1973982457352156,0.07623357571344326,-2.5893872075110576,0.009614691486968783,-0.3468133085462718,-0.047983182924159457
3A,Jump,Intercept,1.1921231633711113,0.11835975316335516,10.072031509949104,7.344512843980014e-24,0.9601423099518845,1.4241040167903383
3A,Jump,"C(group, Treatment('Control'))[T.ELS]",0.013980926974265314,0.10885283914147363,0.1284387902468452,0.8978017351766971,-0.19936671735795491,0.22732857130648554
3A,Jump,experiment,-0.037049137942270556,0.06159539225302378,-0.601492036775718,0.5475123141013891,-0.15777388837181464,0.08367561248727351
