cluster,analysis,parameter,coef,std_err,z,p_value,ci_low,ci_high,aic,bic,log_likelihood,n_observations,n_animals
Freeze,Exp1,Intercept,-3.8897777777777938,1.6844855713304705,-2.3091784482935642,0.020933680982656334,-7.1913088300628925,-0.5882467254926955,5888.035041502461,5915.755480741644,-2938.0175207512307,750,50
Freeze,Exp1,group[T.ELS],0.7649777777778218,2.382222340597343,0.321119387028334,0.7481199189831371,-3.9040922129596805,5.434047768515324,5888.035041502461,5915.755480741644,-2938.0175207512307,750,50
Freeze,Exp1,time_bin_numeric,0.1125739682539684,0.00458033480667114,24.577672376702093,2.1892285473287325e-133,0.10359667699575774,0.12155125951217906,5888.035041502461,5915.755480741644,-2938.0175207512307,750,50
Freeze,Exp1,group[T.ELS]:time_bin_numeric,-0.023743492063492237,0.006477571603803873,-3.6654927981883163,0.000246862758903547,-0.036439299114227185,-0.01104768501275729,5888.035041502461,5915.755480741644,-2938.0175207512307,750,50
Freeze,Exp1,Group Var,0.29504322648533005,0.07488108091274269,3.9401571516994736,8.142824887563273e-05,0.1482790047729247,0.44180744819773543,5888.035041502461,5915.755480741644,-2938.0175207512307,750,50
Freeze,Exp3,Intercept,-3.551597222222122,2.4474709283182072,-1.4511294827361325,0.14674380823016006,-8.34855209493462,1.245357650490376,3911.2903476396964,3936.333064263108,-1949.6451738198482,480,32
Freeze,Exp3,group[T.ELS],0.996041666666543,3.46124658034148,0.2877696354613012,0.7735230819940835,-5.78787697241518,7.779960305748267,3911.2903476396964,3936.333064263108,-1949.6451738198482,480,32
Freeze,Exp3,time_bin_numeric,0.14762400793650765,0.006610492904242909,22.331770122883874,1.815906704247202e-110,0.13466767992413398,0.16058033594888133,3911.2903476396964,3936.333064263108,-1949.6451738198482,480,32
Freeze,Exp3,group[T.ELS]:time_bin_numeric,-0.022679563492063147,0.009348648719151436,-2.4259723702744647,0.015267432574152119,-0.04100257828571647,-0.004356548698409825,3911.2903476396964,3936.333064263108,-1949.6451738198482,480,32
Freeze,Exp3,Group Var,0.30229319683694217,0.09547745638013748,3.166121179782805,0.001544864213370252,0.1151608209963787,0.48942557267750564,3911.2903476396964,3936.333064263108,-1949.6451738198482,480,32
Freeze,Combined,Intercept,-3.757804878048951,1.534710121055289,-2.448543752005121,0.014343500855074425,-6.765781442026424,-0.7498283140714781,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Freeze,Combined,group[T.ELS],0.855149051490701,2.170407867507642,0.39400384798305194,0.6935781982834888,-3.398772200586659,5.1090703035680605,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Freeze,Combined,time_bin_numeric,0.12625203252032588,0.0038704036630506835,32.61986177969173,2.1446687019859994e-233,0.11866618073511465,0.1338378843055371,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Freeze,Combined,group[T.ELS]:time_bin_numeric,-0.023328300425862102,0.0054735773521447754,-4.261984242667385,2.0261973344011494e-05,-0.03405631490265998,-0.01260028594906423,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Freeze,Combined,Group Var,0.1911343830319528,1558627.2296085374,1.2262995243574556e-07,0.9999999021554543,-3054853.044221792,3054853.426490558,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Freeze,Combined,experiment Var,0.1911343830319527,1558627.229608536,1.226299524357456e-07,0.9999999021554543,-3054853.044221789,3054853.426490555,9862.592151944487,9898.395538083052,-4924.296075972244,1230,82
Sniff,Exp1,Intercept,1.9248000000000007,0.7148345953426262,2.692650876917097,0.00708864541580653,0.52374993822519,3.3258500617748115,4690.589780682502,4718.310219921685,-2339.294890341251,750,50
Sniff,Exp1,group[T.ELS],2.8902666666666734,1.0109287795870254,2.859021055714109,0.004249505774315424,0.9088826677410731,4.8716506655922736,4690.589780682502,4718.310219921685,-2339.294890341251,750,50
Sniff,Exp1,time_bin_numeric,0.00014984126984126918,0.002075470238944109,0.07219629895415923,0.9424456904963477,-0.003918005649473925,0.004217688189156464,4690.589780682502,4718.310219921685,-2339.294890341251,750,50
Sniff,Exp1,group[T.ELS]:time_bin_numeric,-0.006586031746031748,0.0029351581602164896,-2.243842200839351,0.024842556085663475,-0.012338836028984914,-0.0008332274630785822,4690.589780682502,4718.310219921685,-2339.294890341251,750,50
Sniff,Exp1,Group Var,0.22906949728709822,0.06122809953250165,3.7412478753403327,0.0001831088122706005,0.10906462736156126,0.3490743672126352,4690.589780682502,4718.310219921685,-2339.294890341251,750,50
Sniff,Exp3,Intercept,9.342638888888844,2.235745505003372,4.1787577646833975,2.931056674304506e-05,4.96065822048492,13.724619557292769,3790.7730086235383,3815.81572524695,-1889.3865043117692,480,32
Sniff,Exp3,group[T.ELS],10.206736111111114,3.1618216151904557,3.2281188989519576,0.0012460717004937761,4.009679619797559,16.40379260242467,3790.7730086235383,3815.81572524695,-1889.3865043117692,480,32
Sniff,Exp3,time_bin_numeric,-0.02135912698412693,0.005808788710218012,-3.6770363064772744,0.00023595946730026743,-0.032744143649957105,-0.009974110318296753,3790.7730086235383,3815.81572524695,-1889.3865043117692,480,32
Sniff,Exp3,group[T.ELS]:time_bin_numeric,-0.02518551587301591,0.008214867774950034,-3.065845557467795,0.0021705540010320276,-0.04128636084967667,-0.009084670896355156,3790.7730086235383,3815.81572524695,-1889.3865043117692,480,32
Sniff,Exp3,Group Var,0.3461921450186224,0.10683768156638301,3.240356210870392,0.0011938046422134085,0.13679413695675285,0.5555901530804919,3790.7730086235383,3815.81572524695,-1889.3865043117692,480,32
Sniff,Combined,Intercept,4.819566395663989,1.0536631379488675,4.574105539125233,4.782587309834817e-06,2.7544245934467497,6.884708197881228,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Sniff,Combined,group[T.ELS],5.745474254742514,1.4901046998598795,3.855752052377785,0.00011537438402935856,2.824922709823283,8.666025799661744,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Sniff,Combined,time_bin_numeric,-0.008243902439024448,0.0026775862229127313,-3.0788560116120434,0.0020779708680969894,-0.013491875001434037,-0.0029959298766148576,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Sniff,Combined,group[T.ELS]:time_bin_numeric,-0.013844367015098674,0.0037866787508665308,-3.656071171057375,0.00025611027725601235,-0.021266120987820193,-0.006422613042377154,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Sniff,Combined,Group Var,0.1864125745569002,,,,,,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Sniff,Combined,experiment Var,0.1864125745569002,,,,,,8954.478852599494,8990.282238738058,-4470.239426299747,1230,82
Groom,Exp1,Intercept,0.06813333333333318,0.032628430322176785,2.088158475923512,0.03678354162694929,0.004182785029792052,0.13208388163687432,413.0037523019082,440.72419154109036,-200.5018761509541,750,50
Groom,Exp1,group[T.ELS],0.007555555555555859,0.04614356868056791,0.16374016513243098,0.8699356970434754,-0.08288417717650767,0.09799528828761939,413.0037523019082,440.72419154109036,-200.5018761509541,750,50
Groom,Exp1,time_bin_numeric,-5.523809523809498e-05,0.00012432914673077714,-0.44428918472116424,0.6568335195631849,-0.00029891874505901396,0.000188442554582824,413.0037523019082,440.72419154109036,-200.5018761509541,750,50
Groom,Exp1,group[T.ELS]:time_bin_numeric,6.222222222222149e-05,0.00017582796550493933,0.35388126139964665,0.7234278707529362,-0.00028239425764241055,0.0004068387020868535,413.0037523019082,440.72419154109036,-200.5018761509541,750,50
Groom,Exp1,Group Var,0.031637287929664436,0.019533603473725247,1.6196339795788277,0.10531092585571074,-0.0066478713671235395,0.06992244722645241,413.0037523019082,440.72419154109036,-200.5018761509541,750,50
Groom,Exp3,Intercept,0.020763888888888866,0.014187970234516257,1.463485512421983,0.14333457501606658,-0.007044021784489301,0.04857179956226704,-749.410873727305,-724.3681571038934,380.7054368636525,480,32
Groom,Exp3,group[T.ELS],-0.005763888888888866,0.020064819928198672,-0.2872634247162328,0.7739106257786471,-0.04509021330443982,0.033562435526662084,-749.410873727305,-724.3681571038934,380.7054368636525,480,32
