section,parameter,coef,se,z,p_value,ci_low,ci_high
Freeze - Combined full dataset,Intercept,-4.227162541262755,1.6910293904831992,-2.4997569912459503,0.012427852300677576,-7.541519243408546,-0.9128058391169653
Freeze - Combined full dataset,Control - ELS vulnerable,-2.4206994566541233,2.0923591833216033,-1.156923474683387,0.24730362693588137,-6.521648098686106,1.6802491853778596
Freeze - Combined full dataset,ELS resilient - ELS vulnerable,-5.3489638843090646,2.96836801863886,-1.8019881129031374,0.0715472758099196,-11.16685829370175,0.4689305250836213
Freeze - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,7.405771369662095,1.5840854894531444,4.675108394698259,2.937983989135012e-06,4.301020861901429,10.510521877422761
Freeze - Combined full dataset,Time (per minute),5.083711001642046,0.26962243389500395,18.854925861331473,2.6771393406028218e-79,4.5552607417838065,5.612161261500286
Freeze - Combined full dataset,Control - ELS vulnerable x time (per minute),2.4914109495774572,0.35230038389387364,7.071837169294615,1.5289577114603433e-12,1.8009148854058301,3.181907013749085
Freeze - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),3.730019157088117,0.4983762410099167,7.48434385541645,7.190546671896508e-14,2.7532196739582266,4.706818640218008
Freeze - Combined full dataset,ELS resilient - Control,-2.928264427654941,2.8339715854496053,-1.0332723315538737,0.30147647164541114,-8.482746668346044,2.6262178130361615
Freeze - Combined full dataset,ELS resilient - Control x time (per minute),1.23860820751066,0.4765521213634598,2.5991033341051697,0.009346763230953103,0.30458321288211776,2.172633202139202
Freeze - Sanguino-Gomez & Krugers,Intercept,-2.5516374269004225,1.8011988003832233,-1.416632870484666,0.15659029297680319,-6.08192220464829,0.9786473508474454
Freeze - Sanguino-Gomez & Krugers,Control - ELS vulnerable,-1.3381403508773129,2.389560237483761,-0.5599943997588412,0.5754832575813689,-6.021592355234463,3.345311653479837
Freeze - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,-2.388177387914372,3.6766816552100585,-0.6495469588807599,0.5159849042123255,-9.594341014745199,4.817986238916456
Freeze - Sanguino-Gomez & Krugers,Time (per minute),4.509423558897213,0.30882037775404664,14.60209197233949,2.7235797866807416e-48,3.9041467408072266,5.114700376987199
Freeze - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),2.245014536340879,0.4096965282503964,5.479701148379713,4.2604484249340345e-08,1.4420240963790052,3.0480049763027526
Freeze - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),3.418354218880565,0.6303769563924706,5.422714431763443,5.870073118338892e-08,2.1828380876673465,4.653870350093784
Freeze - Sanguino-Gomez & Krugers,ELS resilient - Control,-1.050037037037059,3.5692228685412317,-0.29419206244921803,0.7686111456634245,-8.045585312174612,5.945511238100495
Freeze - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),1.173339682539686,0.6119528584611387,1.9173693958881926,0.055191019390717515,-0.026065880280482956,2.372745245359855
Freeze - Sanguino-Gomez et al.,Intercept,-0.0048888888888276765,3.0162478575041853,-0.0016208511766247953,0.9987067484370747,-5.916626058043132,5.906848280265477
Freeze - Sanguino-Gomez et al.,Control - ELS vulnerable,-3.5467083333333953,3.844976670811566,-0.9224264896735473,0.3563061577366309,-11.082724129520784,3.9893074628539926
Freeze - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,-6.801777777777878,4.925512125765491,-1.3809280343048167,0.16730108918124564,-16.45560414969356,2.8520485941378046
Freeze - Sanguino-Gomez et al.,Time (per minute),6.174857142857133,0.49122718467776055,12.570267557378301,3.076808763890304e-36,5.212069552661715,7.137644733052549
Freeze - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),2.682583333333341,0.6261942500697868,4.283947565846186,1.8360620036486083e-05,1.4552651558704908,3.9099015107961916
Freeze - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),3.5248253968254097,0.8021706334962881,4.394109245139451,1.1122787493329975e-05,1.9525998457170057,5.097050947933814
Freeze - Sanguino-Gomez et al.,ELS resilient - Control,-3.2550694444444828,4.566071946909171,-0.712881768463565,0.47591892169772165,-12.204406011205144,5.694267122316178
Freeze - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),0.8422420634920689,0.7436320798159677,1.1326058764174145,0.2573797997807822,-0.6152500306958426,2.29973415767998
Jump - Combined full dataset,Intercept,0.2925881904483448,0.13033878616612005,2.244828259144855,0.024779159881726374,0.03712886377408203,0.5480475171226076
Jump - Combined full dataset,Control - ELS vulnerable,0.03947909500213829,0.16466826168484558,0.23974926678764807,0.8105246391690353,-0.28326476729697597,0.3622229573012526
Jump - Combined full dataset,ELS resilient - ELS vulnerable,0.03507209310915965,0.23334750963991746,0.1502998389109873,0.8805280600767602,-0.42228062166719166,0.49242480788551096
Jump - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,-0.08995019674463985,0.09694583618168372,-0.9278397122292749,0.3534907209144985,-0.27996054411186,0.10006015062258032
Jump - Combined full dataset,Time (per minute),0.12318555008210214,0.028013503508256432,4.397363223268222,1.0957389102107748e-05,0.06828009212513307,0.1780910080390712
Jump - Combined full dataset,Control - ELS vulnerable x time (per minute),-0.01675117145260167,0.036603660524829836,-0.45763650991240695,0.6472136087492887,-0.08849302778359865,0.05499068487839531
Jump - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),-0.01897920087575275,0.051780797221790915,-0.3665297155325707,0.7139698432312185,-0.12046769852123465,0.08250929676972914
Jump - Combined full dataset,ELS resilient - Control,-0.004407001892978636,0.2229190554721398,-0.019769516265196175,0.9842272356256535,-0.44132032208605915,0.43250631830010183
Jump - Combined full dataset,ELS resilient - Control x time (per minute),-0.0022280294231510804,0.04951329283260231,-0.044998611396817094,0.9641084157795705,-0.09927230013103679,0.09481624128473463
Jump - Sanguino-Gomez & Krugers,Intercept,0.27736842105262516,0.1440577872071004,1.9253969287607802,0.05417971953581545,-0.004979653565826581,0.559716495671077
Jump - Sanguino-Gomez & Krugers,Control - ELS vulnerable,0.08894269005848561,0.19111425131792462,0.4653901498456367,0.6416520868092709,-0.28563435945698323,0.4635197395739544
Jump - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,0.07911306042885619,0.2940567267765279,0.26904013146068634,0.7878988003625962,-0.4972275334648734,0.6554536543225857
Jump - Sanguino-Gomez & Krugers,Time (per minute),0.12927318295739507,0.03502509673796396,3.6908729738717585,0.00022348572973014506,0.060625254795954375,0.19792111111883576
Jump - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),-0.034720802005014026,0.04646604165029085,-0.7472296062214006,0.45492497579513436,-0.1257925701437222,0.056350966133694134
Jump - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),-0.030066833751045775,0.07149467933302586,-0.42054645228902876,0.6740863022756286,-0.17019383033001662,0.11006016282792504
Jump - Sanguino-Gomez & Krugers,ELS resilient - Control,-0.009829629629629424,0.2854622978771873,-0.03443407309030479,0.9725310131772159,-0.5693254524129613,0.5496661931537025
Jump - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),0.004653968253968254,0.06940509632996193,0.06705513715941855,0.946537808826483,-0.13137752089629023,0.14068545740422672
Jump - Sanguino-Gomez et al.,Intercept,0.23155555555555418,0.2087524436441498,1.109235185530454,0.26732873742603536,-0.17759171567170673,0.6407028267828151
Jump - Sanguino-Gomez et al.,Control - ELS vulnerable,-0.04294444444444365,0.2661081959129243,-0.16137963844787365,0.8717944026333646,-0.5645069244247041,0.4786180355358167
Jump - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,-0.0226666666666659,0.34089131299151243,-0.06649235636940463,0.9469858429774578,-0.6908013627726013,0.6454680294392694
Jump - Sanguino-Gomez et al.,Time (per minute),0.11161904761904805,0.04787153378551788,2.331637171249673,0.019719786620495845,0.017792565514740604,0.2054455297233555
Jump - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),0.013380952380952119,0.06102447122949288,0.21927191029039442,0.8264382418095655,-0.10622481340445464,0.13298671816635887
Jump - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),-0.0024126984126987116,0.07817388731928292,-0.030863226781145094,0.975378616720486,-0.15563070208998567,0.15080530526458824
Jump - Sanguino-Gomez et al.,ELS resilient - Control,0.020277777777777745,0.3160147049589638,0.06416719684108031,0.9488370966755453,-0.5990996625268425,0.639655218082398
Jump - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),-0.015793650793650832,0.07246913310845661,-0.2179362456290764,0.8274787859067577,-0.157830541677065,0.12624324008976334
Locomotion - Combined full dataset,Intercept,9.680225145228254,0.7435296085534073,13.019286702061347,9.505468363931987e-39,8.222933891024411,11.137516399432098
Locomotion - Combined full dataset,Control - ELS vulnerable,2.1879808727860692,0.9159345989091816,2.3887959635893345,0.01690368715269624,0.39278204672993344,3.9831796988422052
Locomotion - Combined full dataset,ELS resilient - ELS vulnerable,1.1245827968341053,1.2997264961242958,0.86524572684141,0.38690393240423315,-1.4228343253219526,3.6719999189901635
Locomotion - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,-3.4710973656062474,0.7226193777733437,-4.803493336010413,1.5592108087479833e-06,-4.887405320572745,-2.05478941063975
Locomotion - Combined full dataset,Time (per minute),-1.1071921182266056,0.10807640794708803,-10.244531061475172,1.2523066856062049e-24,-1.3190179853813566,-0.8953662510718545
