features,metric,LOOCV_mds2,LOOCV_full,welch_p,n_res,overlap_%
collapsed row-cond (published),euclidean,47.5609756097561,45.1219512195122,0.22108865393818522,20,58.333333333333336
collapsed row-cond (published),cityblock,43.90243902439025,45.1219512195122,0.3781167341303431,18,33.33333333333333
collapsed row-cond (published),correlation,35.36585365853659,45.1219512195122,0.13950967558677138,21,58.333333333333336
NON-collapsed row-cond,euclidean,36.58536585365854,30.48780487804878,0.35639745699226694,19,33.33333333333333
NON-collapsed row-cond,cityblock,0.0,30.48780487804878,0.401072326203293,20,50.0
NON-collapsed row-cond,correlation,0.0,30.48780487804878,0.5746159352719084,19,41.66666666666667
dwell only (diagonal),euclidean,45.1219512195122,30.48780487804878,0.5817354320400374,21,50.0
dwell only (diagonal),cityblock,34.146341463414636,30.48780487804878,0.6707121896439682,20,50.0
dwell only (diagonal),correlation,0.0,30.48780487804878,0.5865138903529241,23,50.0
NON-collapsed off-diagonal,euclidean,36.58536585365854,31.70731707317073,0.21245632552550978,20,50.0
NON-collapsed off-diagonal,cityblock,35.36585365853659,31.70731707317073,0.18849520770149888,17,50.0
NON-collapsed off-diagonal,correlation,45.1219512195122,31.70731707317073,0.6865458387038561,19,50.0
dwell + collapsed off-diag,euclidean,42.68292682926829,40.243902439024396,0.5072037815333184,21,66.66666666666666
dwell + collapsed off-diag,cityblock,41.46341463414634,40.243902439024396,0.24363637162771176,17,25.0
dwell + collapsed off-diag,correlation,9.75609756097561,40.243902439024396,0.4745016771941925,18,58.333333333333336
