features,metric,LOOCV_mds2,LOOCV_fullspace,welch_p,n_res,overlap_%,hits,chance_overlap_%,p_hypergeometric
row-cond (current),euclidean,47.5609756097561,45.1219512195122,0.22108865393818522,20,58.333333333333336,7,48.78048780487805,0.32881846925906727
row-cond (current),cosine,29.268292682926827,45.1219512195122,0.1451495996899313,21,58.333333333333336,7,51.21951219512195,0.4048991495883706
row-cond (current),correlation,35.36585365853659,45.1219512195122,0.13950967558677138,21,58.333333333333336,7,51.21951219512195,0.4048991495883706
row-cond (current),cityblock,43.90243902439025,45.1219512195122,0.3781167341303431,18,33.33333333333333,4,43.90243902439025,0.8901637520835003
row-cond (current),jensenshannon,34.146341463414636,45.1219512195122,0.12836486298471253,21,50.0,6,51.21951219512195,0.6711815307409328
row-cond sqrt,euclidean,39.02439024390244,41.46341463414634,0.12282805611137955,21,50.0,6,51.21951219512195,0.6711815307409328
row-cond sqrt,cosine,23.170731707317074,41.46341463414634,0.1673485885697559,21,50.0,6,51.21951219512195,0.6711815307409328
row-cond sqrt,correlation,37.80487804878049,41.46341463414634,0.22325606696102027,16,33.33333333333333,4,39.02439024390244,0.7958087906947073
row-cond sqrt,cityblock,48.78048780487805,41.46341463414634,0.47076533698976253,19,58.333333333333336,7,46.34146341463415,0.25891934420651963
row-cond sqrt,jensenshannon,43.90243902439025,41.46341463414634,0.9827395204405347,20,50.0,6,48.78048780487805,0.5951008504116293
joint,euclidean,0.0,7.317073170731707,0.3122737802383272,19,66.66666666666666,8,46.34146341463415,0.09092648903821209
joint,cosine,0.0,7.317073170731707,0.20053937162388027,20,41.66666666666667,5,48.78048780487805,0.8233428913995396
joint,correlation,0.0,7.317073170731707,0.2748861124844787,19,50.0,6,46.34146341463415,0.5152161360658607
joint,cityblock,41.46341463414634,7.317073170731707,0.33594982768760895,17,66.66666666666666,8,41.46341463414634,0.03965135370162494
joint,jensenshannon,39.02439024390244,7.317073170731707,0.24729826462147034,19,66.66666666666666,8,46.34146341463415,0.09092648903821209
joint sqrt,euclidean,45.1219512195122,47.5609756097561,0.8932905246661249,20,75.0,9,48.78048780487805,0.033656197503561795
joint sqrt,cosine,15.853658536585366,47.5609756097561,0.5402562271247503,19,66.66666666666666,8,46.34146341463415,0.09092648903821209
joint sqrt,correlation,41.46341463414634,47.5609756097561,0.23427826204602117,21,66.66666666666666,8,51.21951219512195,0.17665710860046027
joint sqrt,cityblock,56.09756097560976,47.5609756097561,0.607286176690498,16,33.33333333333333,4,39.02439024390244,0.7958087906947073
joint sqrt,jensenshannon,50.0,47.5609756097561,0.9702993911100738,20,50.0,6,48.78048780487805,0.5951008504116293
joint sqrt off-diag,euclidean,45.1219512195122,47.5609756097561,0.8932905246661249,20,75.0,9,48.78048780487805,0.033656197503561795
joint sqrt off-diag,cosine,15.853658536585366,47.5609756097561,0.540256227124767,19,66.66666666666666,8,46.34146341463415,0.09092648903821209
joint sqrt off-diag,correlation,37.80487804878049,47.5609756097561,0.3121142451683571,20,50.0,6,48.78048780487805,0.5951008504116293
joint sqrt off-diag,cityblock,56.09756097560976,47.5609756097561,0.607286176690498,16,33.33333333333333,4,39.02439024390244,0.7958087906947073
joint sqrt off-diag,jensenshannon,50.0,47.5609756097561,0.9702993911100654,20,50.0,6,48.78048780487805,0.5951008504116293
joint sqrt + frequencies,euclidean,53.65853658536586,64.63414634146342,0.09022355301148861,14,66.66666666666666,8,34.146341463414636,0.007459468807886596
joint sqrt + frequencies,cosine,4.878048780487805,64.63414634146342,0.6199742564131308,19,66.66666666666666,8,46.34146341463415,0.09092648903821209
joint sqrt + frequencies,correlation,31.70731707317073,64.63414634146342,0.4916302814961848,16,66.66666666666666,8,39.02439024390244,0.02426120927435073
joint sqrt + frequencies,cityblock,53.65853658536586,64.63414634146342,0.7942811876218646,18,66.66666666666666,8,43.90243902439025,0.06145405830693007
joint sqrt + frequencies,jensenshannon,53.65853658536586,64.63414634146342,0.9802390614786386,22,50.0,6,53.65853658536586,0.7410806557934804
frequencies only,euclidean,63.41463414634146,62.19512195121951,0.0031549664082091418,15,75.0,9,36.58536585365854,0.001775608650086463
frequencies only,cosine,2.4390243902439024,62.19512195121951,0.01780982678889208,16,58.333333333333336,7,39.02439024390244,0.10121193141072178
frequencies only,correlation,39.02439024390244,62.19512195121951,0.01461760305573036,15,58.333333333333336,7,36.58536585365854,0.06754599047605944
frequencies only,cityblock,57.3170731707317,62.19512195121951,0.12075168483267204,17,75.0,9,41.46341463414634,0.006947296793667243
frequencies only,jensenshannon,48.78048780487805,62.19512195121951,0.09215278078108,16,58.333333333333336,7,39.02439024390244,0.10121193141072178
