animal,group,profile,experiment,litter,folder
2.4,ELS,ELS resilient,1,2,per_animal/2.4
5.4,Control,Control,1,5,per_animal/5.4
11.4,Control,Control,1,11,per_animal/11.4
11.6,Control,Control,1,11,per_animal/11.6
15.4,ELS,ELS resilient,1,15,per_animal/15.4
15.6,ELS,ELS vulnerable,1,15,per_animal/15.6
23.4,ELS,ELS vulnerable,1,23,per_animal/23.4
25.1,ELS,ELS vulnerable,1,25,per_animal/25.1
26.4,ELS,ELS resilient,1,26,per_animal/26.4
32.2,ELS,ELS vulnerable,1,32,per_animal/32.2
32.4,ELS,ELS vulnerable,1,32,per_animal/32.4
34.4,Control,Control,1,34,per_animal/34.4
34.5,Control,Control,1,34,per_animal/34.5
40.4,Control,Control,1,40,per_animal/40.4
40.6,Control,Control,1,40,per_animal/40.6
41.4,Control,Control,1,41,per_animal/41.4
41.5,Control,Control,1,41,per_animal/41.5
41.6,Control,Control,1,41,per_animal/41.6
43.3,ELS,ELS resilient,1,43,per_animal/43.3
43.5,ELS,ELS resilient,1,43,per_animal/43.5
47.5,Control,Control,1,47,per_animal/47.5
49.5,ELS,ELS vulnerable,1,49,per_animal/49.5
49.6,ELS,ELS resilient,1,49,per_animal/49.6
50.5,Control,Control,1,50,per_animal/50.5
53.5,Control,Control,1,53,per_animal/53.5
54.3,Control,Control,1,54,per_animal/54.3
54.4,Control,Control,1,54,per_animal/54.4
54.6,Control,Control,1,54,per_animal/54.6
55.3,ELS,ELS vulnerable,1,55,per_animal/55.3
55.5,ELS,ELS vulnerable,1,55,per_animal/55.5
56.3,ELS,ELS vulnerable,1,56,per_animal/56.3
58.5,Control,Control,1,58,per_animal/58.5
62.1,Control,Control,1,62,per_animal/62.1
62.2,Control,Control,1,62,per_animal/62.2
62.3,Control,Control,1,62,per_animal/62.3
62.4,Control,Control,1,62,per_animal/62.4
62.5,Control,Control,1,62,per_animal/62.5
63.3,ELS,ELS vulnerable,1,63,per_animal/63.3
68.1,Control,Control,1,68,per_animal/68.1
69.1,ELS,ELS vulnerable,1,69,per_animal/69.1
69.2,ELS,ELS vulnerable,1,69,per_animal/69.2
69.3,ELS,ELS vulnerable,1,69,per_animal/69.3
69.5,ELS,ELS vulnerable,1,69,per_animal/69.5
73.1,ELS,ELS vulnerable,1,73,per_animal/73.1
73.4,ELS,ELS vulnerable,1,73,per_animal/73.4
74.1,Control,Control,1,74,per_animal/74.1
75.1,ELS,ELS vulnerable,1,75,per_animal/75.1
80.3,Control,Control,1,80,per_animal/80.3
88.2,ELS,ELS vulnerable,1,88,per_animal/88.2
88.3,ELS,ELS vulnerable,1,88,per_animal/88.3
123.1,ELS,ELS vulnerable,3,123,per_animal/123.1
123.3,ELS,ELS resilient,3,123,per_animal/123.3
128.4,ELS,ELS vulnerable,3,128,per_animal/128.4
129.1,Control,Control,3,129,per_animal/129.1
129.4,Control,Control,3,129,per_animal/129.4
133.3,ELS,ELS vulnerable,3,133,per_animal/133.3
134.2,ELS,ELS resilient,3,134,per_animal/134.2
134.4,ELS,ELS vulnerable,3,134,per_animal/134.4
136.2,Control,Control,3,136,per_animal/136.2
136.3,Control,Control,3,136,per_animal/136.3
136.5,Control,Control,3,136,per_animal/136.5
137.3,Control,Control,3,137,per_animal/137.3
144.3,ELS,ELS vulnerable,3,144,per_animal/144.3
144.5,ELS,ELS vulnerable,3,144,per_animal/144.5
145.5,Control,Control,3,145,per_animal/145.5
146.6,Control,Control,3,146,per_animal/146.6
147.4,Control,Control,3,147,per_animal/147.4
148.4,ELS,ELS resilient,3,148,per_animal/148.4
150.3,ELS,ELS resilient,3,150,per_animal/150.3
150.5,ELS,ELS resilient,3,150,per_animal/150.5
152.3,Control,Control,3,152,per_animal/152.3
152.5,Control,Control,3,152,per_animal/152.5
153.4,ELS,ELS vulnerable,3,153,per_animal/153.4
154.4,ELS,ELS vulnerable,3,154,per_animal/154.4
157.1,Control,Control,3,157,per_animal/157.1
157.4,Control,Control,3,157,per_animal/157.4
158.5,Control,Control,3,158,per_animal/158.5
159.3,ELS,ELS vulnerable,3,159,per_animal/159.3
159.4,ELS,ELS resilient,3,159,per_animal/159.4
159.5,ELS,ELS vulnerable,3,159,per_animal/159.5
161.1,Control,Control,3,161,per_animal/161.1
161.3,Control,Control,3,161,per_animal/161.3
