scorer,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000
bodyparts,nose,nose,nose,H1R,H1R,H1R,H2R,H2R,H2R,H1L,H1L,H1L,H2L,H2L,H2L,B1R,B1R,B1R,B2R,B2R,B2R,B3R,B3R,B3R,B1L,B1L,B1L,B2L,B2L,B2L,B3L,B3L,B3L,tail,tail,tail,S2,S2,S2,S1,S1,S1
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,185.7784423828125,123.61328125,0.9276025295257568,189.63304138183594,124.09275817871094,0.9560452103614807,194.17584228515625,125.56573486328125,0.9622910618782043,186.15576171875,126.98503112792969,0.7135444283485413,186.56454467773438,133.00430297851562,0.7712499499320984,202.76425170898438,130.57342529296875,0.9273713827133179,222.54342651367188,139.0196990966797,0.7244089245796204,230.5673065185547,145.7176513671875,0.9419696927070618,189.58377075195312,143.16140747070312,0.9015296697616577,216.28070068359375,160.86636352539062,0.5829596519470215,226.7904510498047,155.34535217285156,0.801641583442688,236.55087280273438,148.8310546875,0.6855268478393555,217.6140594482422,150.4886932373047,0.6714276075363159,202.98728942871094,142.99436950683594,0.641229510307312
1,185.7784423828125,123.65540313720703,0.9279141426086426,189.63304138183594,124.09567260742188,0.9561252593994141,194.17584228515625,125.56803894042969,0.9620512127876282,186.17359924316406,127.00103759765625,0.7039740681648254,186.57440185546875,133.05709838867188,0.77130126953125,202.77169799804688,130.57568359375,0.92765873670578,222.66087341308594,139.04730224609375,0.7289373874664307,230.603271484375,145.74557495117188,0.941514253616333,189.63482666015625,143.24050903320312,0.8997802734375,216.28070068359375,160.86636352539062,0.5772016644477844,226.7904510498047,155.34535217285156,0.8127639293670654,236.7040557861328,148.92364501953125,0.6905066967010498,217.63485717773438,150.4886932373047,0.6725713014602661,203.0220947265625,143.00270080566406,0.6457805037498474
2,185.7784423828125,123.65931701660156,0.9279528856277466,189.63304138183594,124.09720611572266,0.9556674957275391,194.17584228515625,125.5709457397461,0.9621585607528687,186.1798858642578,127.01171875,0.7038390040397644,186.5773162841797,133.08839416503906,0.773813009262085,202.77169799804688,130.59559631347656,0.9273266196250916,222.68975830078125,139.04730224609375,0.7304353713989258,230.6033172607422,145.74557495117188,0.9413930177688599,189.6956329345703,143.24891662597656,0.8963487148284912,216.29702758789062,160.91050720214844,0.5733925104141235,226.8033447265625,155.34535217285156,0.8136470317840576,236.7467041015625,148.92364501953125,0.6904495358467102,217.6715850830078,150.4886932373047,0.6781952977180481,203.1121368408203,143.00270080566406,0.6464813947677612
3,185.7222137451172,123.72045135498047,0.9224894046783447,189.63304138183594,124.22088623046875,0.952966570854187,194.18055725097656,125.68743896484375,0.95770263671875,186.1798858642578,127.02310943603516,0.6590865850448608,186.65443420410156,133.09971618652344,0.7703862190246582,202.77169799804688,130.69873046875,0.9338036179542542,222.71926879882812,139.04730224609375,0.7279871702194214,230.63900756835938,145.7635955810547,0.940971851348877,189.69956970214844,143.25192260742188,0.8891993761062622,216.29702758789062,160.91050720214844,0.5620061159133911,226.7904510498047,155.28733825683594,0.8303534984588623,236.7742919921875,148.95428466796875,0.6983667016029358,217.72377014160156,150.4886932373047,0.6825110912322998,203.12315368652344,142.99436950683594,0.6752547025680542
4,185.70376586914062,123.72045135498047,0.9216788411140442,189.64205932617188,124.22088623046875,0.9531589150428772,194.1848602294922,125.68978118896484,0.9570297002792358,186.18955993652344,127.02310943603516,0.6456065773963928,186.67054748535156,133.10638427734375,0.7687981128692627,202.77169799804688,130.73391723632812,0.9310163259506226,222.71926879882812,138.9493865966797,0.7262529134750366,230.64419555664062,145.7678985595703,0.9404360055923462,189.7391357421875,143.27174377441406,0.8845028877258301,219.05189514160156,161.34854125976562,0.5699176788330078,226.7714385986328,155.2501220703125,0.8375763297080994,236.79217529296875,148.96185302734375,0.7059486508369446,217.7387237548828,150.4886932373047,0.6947793960571289,203.1862335205078,142.9751739501953,0.6678102612495422
5,185.64781188964844,123.79047393798828,0.9257259368896484,189.6019744873047,124.24014282226562,0.9512356519699097,194.20245361328125,125.71749114990234,0.9585258960723877,186.18955993652344,127.11204528808594,0.6648412346839905,186.67054748535156,133.13206481933594,0.7757658958435059,202.79248046875,130.76907348632812,0.9272545576095581,222.71926879882812,138.7485809326172,0.7598540782928467,230.6563262939453,145.7678985595703,0.9468665719032288,189.7391357421875,143.25192260742188,0.87680983543396,219.0856170654297,161.34854125976562,0.6000775098800659,226.7714385986328,155.2275848388672,0.8667045831680298,236.8605194091797,149.01063537597656,0.7208306789398193,217.79150390625,150.4471435546875,0.6880834698677063,203.1862335205078,142.92172241210938,0.6817393898963928
6,185.64620971679688,123.72045135498047,0.9260314702987671,189.5861358642578,124.22088623046875,0.9520235061645508,194.20245361328125,125.71749114990234,0.9592994451522827,186.1808319091797,127.02310943603516,0.6663693785667419,186.65443420410156,133.10638427734375,0.7805869579315186,202.79248046875,130.77394104003906,0.928452730178833,222.6717529296875,138.65074157714844,0.7677922248840332,230.66795349121094,145.64566040039062,0.9501491189002991,189.7391357421875,143.25192260742188,0.872412919998169,219.10446166992188,161.3555908203125,0.6109956502914429,226.8096923828125,155.21888732910156,0.875675618648529,236.8707275390625,149.01063537597656,0.7318100333213806,217.84890747070312,150.47105407714844,0.6960337162017822,203.1862335205078,142.92172241210938,0.6795247197151184
7,185.60269165039062,123.69519805908203,0.9204882383346558,189.5861358642578,124.20658111572266,0.9549019932746887,194.20245361328125,125.68978118896484,0.956520676612854,186.1808319091797,127.00273132324219,0.6392284035682678,186.6533203125,133.09971618652344,0.7731512784957886,202.82394409179688,130.840087890625,0.9317823648452759,222.6717529296875,138.65074157714844,0.783954381942749,230.70712280273438,145.6116180419922,0.9438742995262146,189.697265625,143.22564697265625,0.8801670074462891,219.12342834472656,161.3880615234375,0.608189582824707,226.89651489257812,155.21888732910156,0.8825101852416992,236.94529724121094,149.01063537597656,0.7546777129173279,217.8760528564453,150.51051330566406,0.7166966795921326,203.06179809570312,142.92172241210938,0.690817654132843
